,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
10,10,0.0,2023-04-04 04:59:36.361835,2023-04-04 04:59:37.260466,0 days 00:00:00.898631,0.7195937190477995,235,39,7.927196049866918,19,6.4606473401783315,5.4049949790796346,COMPLETE
11,11,0.46875,2023-04-04 04:59:37.260779,2023-04-04 04:59:42.375081,0 days 00:00:05.114302,0.11371167810682156,216,24,5.609199280677113,223,9.991896999608555,1.122655351857711,COMPLETE
12,12,0.4583333333333333,2023-04-04 04:59:42.375391,2023-04-04 04:59:44.814036,0 days 00:00:02.438645,0.23367678068793168,211,25,5.710365165704719,225,9.90130386437955,4.080499103871639,COMPLETE
13,13,0.5208333333333334,2023-04-04 04:59:44.814350,2023-04-04 05:00:00.029222,0 days 00:00:15.214872,0.037794935105721225,225,37,5.382266674845112,116,7.107366911447415,1.3078807228661034,COMPLETE
14,14,0.4947916666666667,2023-04-04 05:00:00.029534,2023-04-04 05:01:15.367167,0 days 00:01:15.337633,0.011851726743717664,255,37,4.617179854581093,113,6.364963789260679,0.7521312810272655,COMPLETE
15,15,0.4427083333333333,2023-04-04 05:01:15.367493,2023-04-04 05:01:17.690743,0 days 00:00:02.323250,0.27868268536039914,260,35,4.444357286415731,125,6.090223753325018,0.5748644215590021,COMPLETE
16,16,0.5729166666666666,2023-04-04 05:01:17.691217,2023-04-04 05:01:32.483310,0 days 00:00:14.792093,0.04491923625593082,259,40,2.6378478970673096,78,7.212654704971261,2.3527721260484165,COMPLETE
17,17,0.041666666666666664,2023-04-04 05:01:32.483629,2023-04-04 05:01:36.019400,0 days 00:00:03.535771,0.2057521739963285,296,40,2.4524347887115385,57,7.580760715245589,2.5572309480087134,COMPLETE
18,18,0.6041666666666666,2023-04-04 05:01:36.019729,2023-04-04 05:02:01.187205,0 days 00:00:25.167476,0.0239920740881644,227,31,2.0005781844461183,78,5.302395726283981,3.5344122420932287,COMPLETE
19,19,0.0,2023-04-04 05:02:01.187539,2023-04-04 05:02:02.423040,0 days 00:00:01.235501,0.5886592188375575,272,29,1.8998064158875214,13,5.313613506683743,3.7350932408903823,COMPLETE
20,20,0.4739583333333333,2023-04-04 05:02:02.423366,2023-04-04 05:02:06.323312,0 days 00:00:03.899946,0.18480050748022142,295,29,1.3417290384563183,73,5.1980087005627205,4.372264838665174,COMPLETE
21,21,0.6145833333333334,2023-04-04 05:02:06.323632,2023-04-04 05:02:22.254326,0 days 00:00:15.930694,0.03603732245943888,227,41,3.1429178829563535,95,7.061739428117769,2.0755671143936505,COMPLETE
22,22,0.005208333333333333,2023-04-04 05:02:22.254671,2023-04-04 05:02:49.004642,0 days 00:00:26.749971,0.02562313388448066,229,49,3.167543203192496,43,8.006533273422942,3.106747152660608,COMPLETE
23,23,0.6145833333333334,2023-04-04 05:02:49.004969,2023-04-04 05:02:53.679763,0 days 00:00:04.674794,0.12531903546511997,243,41,2.506451042188278,93,6.732919118759548,1.960921083762546,COMPLETE
24,24,0.5885416666666666,2023-04-04 05:02:53.680086,2023-04-04 05:02:58.163312,0 days 00:00:04.483226,0.12978812235480594,246,43,2.10565960553886,100,5.9482052803437915,1.8478958015889355,COMPLETE
25,25,0.5260416666666666,2023-04-04 05:02:58.163633,2023-04-04 05:02:59.748963,0 days 00:00:01.585330,0.2645965334054815,198,50,3.346880128288644,156,4.351275309511065,3.3087165158929137,COMPLETE
26,26,0.5625,2023-04-04 05:02:59.749305,2023-04-04 05:03:02.735433,0 days 00:00:02.986128,0.18630181089723868,223,33,3.60349908520745,96,6.955814100901716,2.0935489012818915,COMPLETE
27,27,0.3958333333333333,2023-04-04 05:03:02.735763,2023-04-04 05:03:04.372433,0 days 00:00:01.636670,0.33581183297271694,242,43,1.7733068935600884,142,0.9776722577040067,3.061757184662806,COMPLETE
28,28,0.0,2023-04-04 05:03:04.372754,2023-04-04 05:03:08.539670,0 days 00:00:04.166916,0.14017355691492797,231,28,2.6452061598065737,41,6.565922918068907,1.7797501167907317,COMPLETE
29,29,0.625,2023-04-04 05:03:08.539996,2023-04-04 05:03:13.360989,0 days 00:00:04.820993,0.09879743285988435,201,38,2.9755709167046374,92,5.797114501770274,5.040148727355739,COMPLETE
30,30,0.5625,2023-04-04 05:03:13.361315,2023-04-04 05:03:17.904631,0 days 00:00:04.543316,0.10079867215284433,198,41,4.011269554070335,144,5.806871993515637,4.665140590924206,COMPLETE
31,31,0.625,2023-04-04 05:03:17.904954,2023-04-04 05:03:23.295347,0 days 00:00:05.390393,0.09359891794252415,204,37,2.8623401560358643,91,6.790860554635734,5.594901483801037,COMPLETE
32,32,0.5989583333333334,2023-04-04 05:03:23.295677,2023-04-04 05:03:28.611186,0 days 00:00:05.315509,0.09624292359610619,204,37,3.153397805762942,101,6.853676757783662,5.35033943920085,COMPLETE
33,33,0.005208333333333333,2023-04-04 05:03:28.611665,2023-04-04 05:03:31.315928,0 days 00:00:02.704263,0.17521693676694938,203,45,2.642390596033801,55,7.558403072971293,6.1234229953843515,COMPLETE
34,34,0.6510416666666666,2023-04-04 05:03:31.316250,2023-04-04 05:03:38.697280,0 days 00:00:07.381030,0.0737674463413188,216,36,2.94125915165112,89,8.093382843544951,5.890143951427983,COMPLETE
35,35,0.4739583333333333,2023-04-04 05:03:38.697625,2023-04-04 05:03:45.888383,0 days 00:00:07.190758,0.07762756995219067,217,32,3.0911542127768334,170,7.942495480983564,6.428137628628161,COMPLETE
