,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
66,66,0.3854166666666667,2023-04-04 03:24:48.918497,2023-04-04 03:24:52.052074,0 days 00:00:03.133577,0.20693714308882677,67,112.47429140886746,234,14,9.196768530563917,3.091485124998496,COMPLETE
67,67,0.6041666666666666,2023-04-04 03:24:52.052405,2023-04-04 03:25:03.901244,0 days 00:00:11.848839,0.06672521092252265,128,60.040002763420034,284,19,8.403634785119054,2.573814869734002,COMPLETE
68,68,0.6145833333333334,2023-04-04 03:25:03.901596,2023-04-04 03:25:10.639538,0 days 00:00:06.737942,0.09343205612957792,85,143.2598492246671,226,16,8.779421171700497,2.07158915225426,COMPLETE
69,69,0.6770833333333334,2023-04-04 03:25:10.639869,2023-04-04 03:25:14.341909,0 days 00:00:03.702040,0.1851163361502494,108,172.2042592270358,247,13,8.277020090007953,1.3026806248764062,COMPLETE
70,70,0.6302083333333334,2023-04-04 03:25:14.342243,2023-04-04 03:25:18.631922,0 days 00:00:04.289679,0.16884997567302995,86,122.16002643707344,264,13,8.13045632701674,1.4565318615165683,COMPLETE
71,71,0.6822916666666666,2023-04-04 03:25:18.632252,2023-04-04 03:25:24.205455,0 days 00:00:05.573203,0.12409503318700205,109,167.66582706035751,242,11,8.671835124785458,1.2431660850790702,COMPLETE
72,72,0.6875,2023-04-04 03:25:24.205791,2023-04-04 03:25:29.938638,0 days 00:00:05.732847,0.12210724476670265,103,168.2124009878122,245,11,8.316091194852664,0.9623639929343715,COMPLETE
73,73,0.6770833333333334,2023-04-04 03:25:29.938980,2023-04-04 03:25:35.088057,0 days 00:00:05.149077,0.13458529095214944,105,181.00493958933563,249,11,8.340932147549417,1.1710496803783927,COMPLETE
74,74,0.5520833333333334,2023-04-04 03:25:35.088560,2023-04-04 03:25:38.531659,0 days 00:00:03.443099,0.20121374669190417,75,174.75688609996803,249,11,8.225984294217321,1.1581943319173105,COMPLETE
75,75,0.6979166666666666,2023-04-04 03:25:38.531995,2023-04-04 03:25:43.375398,0 days 00:00:04.843403,0.13943046366729728,105,157.48086555657852,242,11,8.650099643418748,0.9977751459049937,COMPLETE
76,76,0.625,2023-04-04 03:25:43.375746,2023-04-04 03:25:46.973163,0 days 00:00:03.597417,0.18875094909378437,128,84.03034515621964,243,13,8.758093500976818,0.6723252131247903,COMPLETE
77,77,0.65625,2023-04-04 03:25:46.973506,2023-04-04 03:25:51.422334,0 days 00:00:04.448828,0.14913076037717893,115,151.01806421195352,236,10,9.056528532357376,0.9231995019834889,COMPLETE
78,78,0.6822916666666666,2023-04-04 03:25:51.422711,2023-04-04 03:25:56.842014,0 days 00:00:05.419303,0.11989948554636676,100,211.68188365004926,230,14,8.551016178097422,1.624884613347737,COMPLETE
79,79,0.6354166666666666,2023-04-04 03:25:56.842354,2023-04-04 03:26:01.772848,0 days 00:00:04.930494,0.12631587175520895,91,214.85916560313086,217,14,9.247284319128037,1.6406868270095463,COMPLETE
80,80,0.5677083333333334,2023-04-04 03:26:01.773406,2023-04-04 03:26:10.476777,0 days 00:00:08.703371,0.07533939569054618,101,39.49791354878806,228,11,8.59219767739756,1.5225089719731628,COMPLETE
81,81,0.6510416666666666,2023-04-04 03:26:10.477118,2023-04-04 03:26:17.750040,0 days 00:00:07.272922,0.09312639826863141,113,109.06155891057995,240,13,7.889493233404141,1.2748235749533325,COMPLETE
