,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
58,58,0.6822916666666666,2023-04-04 00:33:08.775146,2023-04-04 00:33:18.163659,0 days 00:00:09.388513,0.0635638482382729,111,683.9698786974066,232,35,8.91178554291789,0.5129163263509682,COMPLETE
59,59,0.5208333333333334,2023-04-04 00:33:18.163994,2023-04-04 00:33:27.734810,0 days 00:00:09.570816,0.057108467294496784,73,640.1159286212862,213,35,9.714863311884613,0.5679066003001179,COMPLETE
60,60,0.390625,2023-04-04 00:33:27.735138,2023-04-04 00:33:31.562844,0 days 00:00:03.827706,0.1331803867027666,178,708.0838600140155,204,32,8.115909434469309,2.0413031167552864,COMPLETE
61,61,0.6614583333333334,2023-04-04 00:33:31.563176,2023-04-04 00:33:37.870680,0 days 00:00:06.307504,0.09427345269691335,115,778.4020400576708,232,36,8.904495992128744,0.8358971362890165,COMPLETE
62,62,0.6510416666666666,2023-04-04 00:33:37.871008,2023-04-04 00:34:04.647719,0 days 00:00:26.776711,0.026603820304879976,92,828.8270340346421,220,39,8.68727959797157,1.536502090129941,COMPLETE
63,63,0.6979166666666666,2023-04-04 00:34:04.648056,2023-04-04 00:34:13.050808,0 days 00:00:08.402752,0.0741102729612289,108,725.521409596847,238,33,9.199575172629999,0.7421627865030984,COMPLETE
64,64,0.6927083333333334,2023-04-04 00:34:13.051159,2023-04-04 00:34:16.727673,0 days 00:00:03.676514,0.1601735028706821,109,677.9636554136457,228,30,9.53891240734864,0.5008011669188295,COMPLETE
65,65,0.1875,2023-04-04 00:34:16.728004,2023-04-04 00:34:20.487221,0 days 00:00:03.759217,0.16378013728755614,228,734.7958417255616,237,29,9.537839210889183,0.8468121449299923,COMPLETE
66,66,0.6822916666666666,2023-04-04 00:34:20.487550,2023-04-04 00:35:43.445813,0 days 00:01:22.958263,0.010247942228978187,108,671.9090437829908,227,34,9.031231129076085,0.5749051886436609,COMPLETE
67,67,0.59375,2023-04-04 00:35:43.446183,2023-04-04 00:36:18.882617,0 days 00:00:35.436434,0.02103376456844666,83,675.6156857948151,223,34,9.213741326157905,0.6088387681161408,COMPLETE
68,68,0.625,2023-04-04 00:36:18.883379,2023-04-04 00:36:29.087946,0 days 00:00:10.204567,0.06064371879494075,131,619.6338854175908,227,26,9.706306900405888,1.2737475172824961,COMPLETE
69,69,0.6510416666666666,2023-04-04 00:36:29.088436,2023-04-04 00:36:36.606138,0 days 00:00:07.517702,0.08002465320143576,92,698.7802801901302,227,29,9.216799782813101,0.8752395084468905,COMPLETE
70,70,0.5625,2023-04-04 00:36:36.606481,2023-04-04 00:36:54.592439,0 days 00:00:17.985958,0.03964537550524502,146,666.2860567584711,253,23,9.057964335421119,1.269273516408934,COMPLETE
71,71,0.7135416666666666,2023-04-04 00:36:54.592946,2023-04-04 00:36:59.749706,0 days 00:00:05.156760,0.11858127759714789,105,728.1254791203942,233,33,9.963177870331627,0.5454966834993643,COMPLETE
72,72,0.6822916666666666,2023-04-04 00:36:59.750044,2023-04-04 00:37:58.161928,0 days 00:00:58.411884,0.014467514146128145,109,726.2500526296799,239,35,9.952603596950082,0.5396716965163875,COMPLETE
73,73,0.6822916666666666,2023-04-04 00:37:58.162293,2023-04-04 00:38:11.568865,0 days 00:00:13.406572,0.047133654345726736,100,714.145053473935,239,35,9.8640199362671,0.506491723437822,COMPLETE
74,74,0.5208333333333334,2023-04-04 00:38:11.569384,2023-04-04 00:39:20.802105,0 days 00:01:09.232721,0.012524486560332664,67,612.595447366254,238,35,9.96348508550223,0.5788391980420882,COMPLETE
75,75,0.5885416666666666,2023-04-04 00:39:20.802683,2023-04-04 00:39:33.404287,0 days 00:00:12.601604,0.04995421331693603,80,723.6384497520693,234,32,9.613047743179868,0.519202082039736,COMPLETE
76,76,0.640625,2023-04-04 00:39:33.405049,2023-04-04 00:40:55.350887,0 days 00:01:21.945838,0.010122562006433047,115,643.6304748972,217,34,9.94765006920402,0.8160919369993461,COMPLETE
77,77,0.640625,2023-04-04 00:40:55.351378,2023-04-04 00:41:03.889488,0 days 00:00:08.538110,0.07402341865821782,124,686.3410512751421,242,36,9.54361922689011,1.0430157703406362,COMPLETE
78,78,0.6927083333333334,2023-04-04 00:41:03.889951,2023-04-04 00:41:16.021291,0 days 00:00:12.131340,0.04990690975692305,104,588.5533811049527,227,32,9.753427522646806,0.7410819662939934,COMPLETE
79,79,0.6979166666666666,2023-04-04 00:41:16.021783,2023-04-04 00:41:29.136081,0 days 00:00:13.114298,0.046223645299343585,105,704.0720929072168,228,32,9.024001314742518,0.8296430950410062,COMPLETE
80,80,0.6458333333333334,2023-04-04 00:41:29.136596,2023-04-04 00:41:36.438736,0 days 00:00:07.302140,0.08246377292646542,92,657.8405865396812,228,30,8.957222587652613,0.7855642660941119,COMPLETE
81,81,0.609375,2023-04-04 00:41:36.439075,2023-04-04 00:41:58.107761,0 days 00:00:21.668686,0.03357898169388052,131,702.8570459123978,224,32,9.741203190613874,0.503953728579325,COMPLETE
82,82,0.6927083333333334,2023-04-04 00:41:58.108113,2023-04-04 00:42:10.614247,0 days 00:00:12.506134,0.05006112744450277,104,589.667147302939,233,30,9.347805590175591,1.0866585522413925,COMPLETE
83,83,0.6979166666666666,2023-04-04 00:42:10.614614,2023-04-04 00:42:16.326225,0 days 00:00:05.711611,0.11066041408492172,104,591.3909348149474,233,30,9.282771258321587,1.1394388721045854,COMPLETE
