,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
10,10,0.5655015629440182,2023-04-04 18:05:25.246739,2023-04-04 18:05:41.750159,0 days 00:00:16.503420,0.04385896178472175,182,37,23,3.1357531250543884,0.622227272497291,9.207607676999483,COMPLETE
11,11,0.5803495311167945,2023-04-04 18:05:41.750475,2023-04-04 18:06:13.340396,0 days 00:00:31.589921,0.025474997860663984,181,36,14,3.2652901751234458,0.7950815334891228,9.937774195182444,COMPLETE
12,12,0.5803495311167945,2023-04-04 18:06:13.340731,2023-04-04 18:06:45.553422,0 days 00:00:32.212691,0.024987120743435887,180,36,11,3.3265855002519316,0.7915845296411074,9.901018060448703,COMPLETE
13,13,0.5557686842853083,2023-04-04 18:06:45.553743,2023-04-04 18:07:20.846122,0 days 00:00:35.292379,0.023920072149030854,197,50,17,3.8093064828103844,0.993570652567284,9.949303175287458,COMPLETE
14,14,0.26314293833475416,2023-04-04 18:07:20.846652,2023-04-04 18:07:22.196327,0 days 00:00:01.349675,0.9753166910735287,182,34,88,3.3387337219870186,1.8393414461661575,7.488154543176979,COMPLETE
15,15,0.3218954248366013,2023-04-04 18:07:22.196781,2023-04-04 18:07:31.015541,0 days 00:00:08.818760,0.1535058454546075,299,37,53,4.734873843204477,2.077812942679816,9.994665033147918,COMPLETE
16,16,0.44380505825518607,2023-04-04 18:07:31.015861,2023-04-04 18:07:33.639201,0 days 00:00:02.623340,0.4263867262439203,205,26,116,2.868628955177857,0.6196318937392837,6.93760102555998,COMPLETE
17,17,0.43400113668655865,2023-04-04 18:07:33.639518,2023-04-04 18:07:41.077304,0 days 00:00:07.437786,0.16265411820604048,242,13,12,4.1548609385630755,2.325858075879625,8.575384383908327,COMPLETE
18,18,0.5365870986075589,2023-04-04 18:07:41.077621,2023-04-04 18:09:37.442493,0 days 00:01:56.364872,0.011790406244888241,193,20,50,2.5053174373142952,2.988427642155025,7.915241391264098,COMPLETE
19,19,0.31699346405228757,2023-04-04 18:09:37.442987,2023-04-04 18:09:44.145271,0 days 00:00:06.702284,0.19209654632678025,271,35,114,3.518343401680715,1.5730337063605013,8.943178259275356,COMPLETE
20,20,0.27799090650753056,2023-04-04 18:09:44.145739,2023-04-04 18:09:46.782918,0 days 00:00:02.637179,0.4304065753683383,208,41,45,1.4442664402975733,1.1315331334111816,9.986354147342887,COMPLETE
21,21,0.555839727195226,2023-04-04 18:09:46.783426,2023-04-04 18:09:54.448391,0 days 00:00:07.664965,0.09679489153873949,181,37,26,3.12574466135035,1.2585580921427297,9.116193154135225,COMPLETE
22,22,0.5803495311167945,2023-04-04 18:09:54.448724,2023-04-04 18:10:03.556686,0 days 00:00:09.107962,0.08494922303341436,181,30,300,2.841723221777085,0.6716825507724148,9.075615958989077,COMPLETE
23,23,0.5169082125603864,2023-04-04 18:10:03.557146,2023-04-04 18:10:11.475114,0 days 00:00:07.917968,0.11054409254638123,196,28,300,4.052036556057202,0.5979074838602267,8.703976948654484,COMPLETE
24,24,0.4632708155726058,2023-04-04 18:10:11.475435,2023-04-04 18:10:15.188785,0 days 00:00:03.713350,0.2497327497510404,189,32,236,2.4884921442284136,2.262148428139733,9.96895175483667,COMPLETE
25,25,0.4973714123330492,2023-04-04 18:10:15.189119,2023-04-04 18:10:26.219006,0 days 00:00:11.029887,0.09802503583894154,234,30,119,0.9428417374352809,1.7706898152228776,7.463883706099079,COMPLETE
26,26,0.4096334185848252,2023-04-04 18:10:26.219339,2023-04-04 18:10:30.914750,0 days 00:00:04.695411,0.21966761002430935,201,17,279,2.006111412486053,0.539228725402429,9.246580576549563,COMPLETE
27,27,0.47797669792554703,2023-04-04 18:10:30.915070,2023-04-04 18:10:42.080542,0 days 00:00:11.165472,0.0973866240460079,215,24,81,2.926134122082647,2.784992730096787,8.326706967693617,COMPLETE
28,28,0.5217391304347826,2023-04-04 18:10:42.080868,2023-04-04 18:10:46.016669,0 days 00:00:03.935801,0.20559642667042194,187,45,36,3.7425283115169945,1.596871271309804,9.318848905209514,COMPLETE
29,29,0.4730747371412333,2023-04-04 18:10:46.017002,2023-04-04 18:12:56.623590,0 days 00:02:10.606588,0.010796216466547269,212,39,175,0.9142144134622008,3.735871975080591,6.146027609287726,COMPLETE
30,30,0.5510798522307474,2023-04-04 18:12:56.623927,2023-04-04 18:13:03.815924,0 days 00:00:07.191997,0.10888251666329463,180,33,223,2.6586340021277537,1.265470834822306,8.575159398095785,COMPLETE
31,31,0.5608837737993748,2023-04-04 18:13:03.816387,2023-04-04 18:13:14.412318,0 days 00:00:10.595931,0.07263621314334542,187,37,70,3.2276915395858308,0.6487642107842811,9.36983266057333,COMPLETE
32,32,0.5412048877522023,2023-04-04 18:13:14.412640,2023-04-04 18:13:34.655083,0 days 00:00:20.242443,0.04296632575249493,196,43,11,3.150860155810769,1.3438663189506754,9.44041962922775,COMPLETE
33,33,0.47769252628587666,2023-04-04 18:13:34.655404,2023-04-04 18:13:37.580897,0 days 00:00:02.925493,0.29879940901159946,180,35,34,4.3419076745180725,2.2798090920466203,9.475679366109318,COMPLETE
34,34,0.5559818130150611,2023-04-04 18:13:37.581225,2023-04-04 18:13:44.202455,0 days 00:00:06.621230,0.12596189958448345,187,30,69,3.5538676008188173,0.52848845966726,7.987111524729026,COMPLETE
35,35,0.49254049445865294,2023-04-04 18:13:44.202824,2023-04-04 18:13:49.201434,0 days 00:00:04.998610,0.18212096894294,201,38,31,2.1102724041455243,1.124369514802246,8.946784112681492,COMPLETE
36,36,0.5559107701051436,2023-04-04 18:13:49.201771,2023-04-04 18:14:02.279726,0 days 00:00:13.077955,0.0659883195249305,193,43,60,2.7809947083242275,1.7761839877825851,9.598690010953414,COMPLETE
37,37,0.42924126172208016,2023-04-04 18:14:02.280060,2023-04-04 18:14:06.227011,0 days 00:00:03.946951,0.26808524213312646,218,29,164,4.498022517027705,2.5201670401421925,7.990861762177001,COMPLETE
38,38,0.3900255754475703,2023-04-04 18:14:06.227335,2023-04-04 18:14:09.126741,0 days 00:00:02.899406,0.3364900632316388,207,48,87,5.051248637077791,1.0640350173165223,8.820555064814554,COMPLETE
39,39,0.46824381926683717,2023-04-04 18:14:09.127062,2023-04-04 18:14:26.949711,0 days 00:00:17.822649,0.06431659403062388,231,42,136,5.794185313685083,3.2624642242943476,4.462559937139037,COMPLETE
40,40,0.5119352088661552,2023-04-04 18:14:26.950041,2023-04-04 18:14:33.669856,0 days 00:00:06.719815,0.14845551120758835,186,24,261,3.7944709867926756,5.590161008636619,9.627291358396041,COMPLETE
41,41,0.5559107701051436,2023-04-04 18:14:33.670184,2023-04-04 18:14:44.708688,0 days 00:00:11.038504,0.06773039817184422,186,38,25,3.3144402229095578,0.835110254221592,9.207322375072337,COMPLETE
42,42,0.5412048877522023,2023-04-04 18:14:44.709016,2023-04-04 18:15:01.344149,0 days 00:00:16.635133,0.05213816739529245,191,36,44,3.0363531275216933,1.5519066050569208,8.433179424644166,COMPLETE
43,43,0.5655726058539358,2023-04-04 18:15:01.344472,2023-04-04 18:16:09.984509,0 days 00:01:08.640037,0.01333146184708562,180,32,74,2.174621670035874,0.9612577996785923,9.544821845116639,COMPLETE
44,44,0.5317561807331628,2023-04-04 18:16:09.985047,2023-04-04 18:17:19.271313,0 days 00:01:09.286266,0.013872574215845495,180,32,21,2.056020760584234,2.049558396083915,9.669749617202553,COMPLETE
