,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
21,21,0.5023444160272804,2023-04-04 17:42:00.250373,2023-04-04 17:42:07.512018,0 days 00:00:07.261645,0.15627560011097885,115,420.31916483615515,218,36,5.443610169909373,0.5913352443468445,COMPLETE
22,22,0.5313299232736572,2023-04-04 17:42:07.512353,2023-04-04 17:42:11.345322,0 days 00:00:03.832969,0.2531396680193958,11,300.8378024215551,198,40,4.556631363343784,2.2266413417155366,COMPLETE
23,23,0.550795680591077,2023-04-04 17:42:11.345657,2023-04-04 17:42:22.143908,0 days 00:00:10.798251,0.11452746022242272,66,146.66245683669982,236,33,5.087680762311828,3.5309597233270265,COMPLETE
24,24,0.5168371696504689,2023-04-04 17:42:22.144226,2023-04-04 17:42:30.463108,0 days 00:00:08.318882,0.1421268928136604,65,129.99363743203247,245,34,3.4753735837940445,3.8202158745735035,COMPLETE
25,25,0.5704035237283319,2023-04-04 17:42:30.463444,2023-04-04 17:42:47.613974,0 days 00:00:17.150530,0.08230204942726219,112,212.40224749711348,277,44,4.86887509397274,1.9653307229578447,COMPLETE
26,26,0.5316140949133277,2023-04-04 17:42:47.614293,2023-04-04 17:43:05.346417,0 days 00:00:17.732124,0.08952467428879762,119,240.20541580600892,295,43,5.946089495350899,1.8180209327277266,COMPLETE
27,27,0.15139244103438476,2023-04-04 17:43:05.346935,2023-04-04 17:43:08.704194,0 days 00:00:03.357259,0.3993760336288946,180,81.49014977779538,280,49,3.0032305217557314,1.6309963656331856,COMPLETE
28,28,0.555981813015061,2023-04-04 17:43:08.704659,2023-04-04 17:43:14.020377,0 days 00:00:05.315718,0.24102742452968742,113,202.33916377713172,276,46,4.01765176622323,2.9479284424832257,COMPLETE
29,29,0.43890309747087247,2023-04-04 17:43:14.020704,2023-04-04 17:43:18.779076,0 days 00:00:04.758372,0.2628979513526174,122,346.51882614492786,274,46,2.115251487559876,2.9946724682846293,COMPLETE
30,30,0.42909917590224494,2023-04-04 17:43:18.779414,2023-04-04 17:43:38.200963,0 days 00:00:19.421549,0.07159997456813319,169,197.07222396233692,270,39,4.002632408437838,0.946703276868049,COMPLETE
31,31,0.5558397271952259,2023-04-04 17:43:38.201303,2023-04-04 17:43:46.674981,0 days 00:00:08.473678,0.16172412295988953,44,295.70760671296125,279,43,4.880315619202815,2.188038569141437,COMPLETE
32,32,0.5656436487638533,2023-04-04 17:43:46.675307,2023-04-04 17:43:51.987354,0 days 00:00:05.312047,0.25456975017916456,34,314.50616389346305,285,47,4.723262359891902,2.1875379028824784,COMPLETE
33,33,0.5119352088661552,2023-04-04 17:43:51.987690,2023-04-04 17:43:57.507316,0 days 00:00:05.519626,0.25775683731121457,18,196.50144114365008,297,47,4.206013196939384,1.367101521929853,COMPLETE
34,34,0.4682438192668372,2023-04-04 17:43:57.507651,2023-04-04 17:44:01.596888,0 days 00:00:04.089237,0.31283023150901923,110,340.469990820648,267,38,3.741509345006894,2.956320088863627,COMPLETE
35,35,0.4288860471724922,2023-04-04 17:44:01.597219,2023-04-04 17:44:05.140579,0 days 00:00:03.543360,0.37960755445164385,76,98.29863192462768,286,50,4.463461637361979,1.2122693460122014,COMPLETE
36,36,0.6094771241830065,2023-04-04 17:44:05.140907,2023-04-04 17:44:17.766717,0 days 00:00:12.625810,0.10833171988394055,100,158.42702898821017,289,45,2.9718782914029642,2.3303978909562852,COMPLETE
37,37,0.4388320545609548,2023-04-04 17:44:17.767036,2023-04-04 17:44:30.146329,0 days 00:00:12.379293,0.11092687802856155,98,56.893381657928984,289,41,2.8539095605302633,1.7770690516980632,COMPLETE
38,38,0.3657289002557545,2023-04-04 17:44:30.146686,2023-04-04 17:44:59.746247,0 days 00:00:29.599561,0.043633894616796454,28,138.53728077728132,254,38,2.3625450634960714,1.001338329280455,COMPLETE
39,39,0.3025007104290992,2023-04-04 17:44:59.746777,2023-04-04 17:45:16.299242,0 days 00:00:16.552465,0.07817917965314472,206,241.82051456405122,265,48,3.5163942523053553,2.5166966371919983,COMPLETE
40,40,0.43414322250639387,2023-04-04 17:45:16.299742,2023-04-04 17:45:26.835254,0 days 00:00:10.535512,0.11950479542449777,158,157.88444058840147,287,44,1.6575026942347306,0.5305213591569622,COMPLETE
41,41,0.5266410912190963,2023-04-04 17:45:26.835595,2023-04-04 17:45:33.002104,0 days 00:00:06.166509,0.20965799208891797,130,207.7807554539079,279,45,4.031483762509583,3.1297225028708615,COMPLETE
42,42,0.5803495311167945,2023-04-04 17:45:33.002434,2023-04-04 17:45:41.547502,0 days 00:00:08.545068,0.16665212486484626,102,100.63930462781303,296,50,4.615179700073071,2.5822902596909136,COMPLETE
43,43,0.3364592213697073,2023-04-04 17:45:41.547822,2023-04-04 17:46:16.291022,0 days 00:00:34.743200,0.0456819177282013,82,45.54677276415734,300,50,4.743017217757601,2.4474196460327136,COMPLETE
44,44,0.5704745666382495,2023-04-04 17:46:16.291378,2023-04-04 17:46:24.780307,0 days 00:00:08.488929,0.16833666498760969,98,103.1448009674406,293,48,4.723436254083937,1.582010685266828,COMPLETE
45,45,0.5707587382779199,2023-04-04 17:46:24.780772,2023-04-04 17:46:34.842861,0 days 00:00:10.062089,0.13458564415770358,102,92.15182950982617,293,48,3.2145949884082157,1.5059251155860782,COMPLETE
46,46,0.2974566638249503,2023-04-04 17:46:34.843317,2023-04-04 17:46:42.842408,0 days 00:00:07.999091,0.16429401270793223,102,24.01281017814155,294,48,2.992909045528861,1.3167214298177474,COMPLETE
47,47,0.424410343847684,2023-04-04 17:46:42.842752,2023-04-04 17:46:53.459622,0 days 00:00:10.616870,0.127473991182727,157,99.24388956055607,292,50,3.3633576573115325,1.0123296819342014,COMPLETE
