,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
71,71,0.5656436487638533,2023-04-05 21:38:20.076325,2023-04-05 21:38:30.244635,0 days 00:00:10.168310,0.08603375843299327,183,49,6.934982209208704,9.218692757150277,COMPLETE
72,72,0.5754475703324808,2023-04-05 21:38:30.244957,2023-04-05 21:38:40.574584,0 days 00:00:10.329627,0.08630277066972988,183,49,6.773214465763064,9.659353189130853,COMPLETE
73,73,0.5656436487638534,2023-04-05 21:38:40.574927,2023-04-05 21:38:50.642855,0 days 00:00:10.067928,0.08654497576369316,183,49,6.8542908728979075,9.716008825430285,COMPLETE
74,74,0.5412759306621199,2023-04-05 21:38:50.643170,2023-04-05 21:39:00.277590,0 days 00:00:09.634420,0.0943363521069375,189,49,6.168003969925573,9.704926221047268,COMPLETE
75,75,0.536231884057971,2023-04-05 21:39:00.277925,2023-04-05 21:39:05.383068,0 days 00:00:05.105143,0.16913256761429193,183,50,6.862648423370254,9.995389396769026,COMPLETE
76,76,0.53154305200341,2023-04-05 21:39:05.383393,2023-04-05 21:39:12.842091,0 days 00:00:07.458698,0.12628220668007384,194,45,6.7072036197480545,9.417678590491471,COMPLETE
77,77,0.5364450127877237,2023-04-05 21:39:12.842401,2023-04-05 21:39:24.145828,0 days 00:00:11.303427,0.0821771069726062,189,46,7.050984420161246,9.711013837774056,COMPLETE
78,78,0.5265700483091788,2023-04-05 21:39:24.146144,2023-04-05 21:39:30.790869,0 days 00:00:06.644725,0.13373016909470048,183,42,6.17928884518244,9.324374814466072,COMPLETE
79,79,0.42924126172208016,2023-04-05 21:39:30.791217,2023-04-05 21:39:34.711653,0 days 00:00:03.920436,0.23742551051536642,197,49,5.859506809133959,9.579646212045779,COMPLETE
80,80,0.526712134129014,2023-04-05 21:39:34.711977,2023-04-05 21:39:57.559865,0 days 00:00:22.847888,0.03875921207246366,180,46,7.198270830473373,8.681827079378879,COMPLETE
81,81,0.526712134129014,2023-04-05 21:39:57.560179,2023-04-05 21:40:22.920876,0 days 00:00:25.360697,0.03534859151613939,184,48,6.629253745714876,8.938900902819192,COMPLETE
82,82,0.5608127308894572,2023-04-05 21:40:22.921192,2023-04-05 21:40:34.832551,0 days 00:00:11.911359,0.07593604309944028,187,48,7.582146727774003,9.314938937711288,COMPLETE
83,83,0.5461778914464336,2023-04-05 21:40:34.832862,2023-04-05 21:40:45.094482,0 days 00:00:10.261620,0.087710737652931,188,50,7.269443479408167,9.342945953505923,COMPLETE
84,84,0.5168371696504689,2023-04-05 21:40:45.094846,2023-04-05 21:40:50.337491,0 days 00:00:05.242645,0.17514758050052207,192,47,6.9113619334758,9.76398629781801,COMPLETE
85,85,0.5657857345836885,2023-04-05 21:40:50.337800,2023-04-05 21:41:02.279051,0 days 00:00:11.941251,0.07474145395151516,187,49,6.2535368844133465,8.841170130170525,COMPLETE
86,86,0.4390451832907076,2023-04-05 21:41:02.279387,2023-04-05 21:41:43.657027,0 days 00:00:41.377640,0.030861294552629225,244,48,5.2537872119331945,8.827631774647461,COMPLETE
87,87,0.5412759306621199,2023-04-05 21:41:43.657384,2023-04-05 21:41:50.992400,0 days 00:00:07.335016,0.12285411484344527,187,44,6.087849664132467,8.361514364045409,COMPLETE
88,88,0.43400113668655865,2023-04-05 21:41:50.992711,2023-04-05 21:41:57.914848,0 days 00:00:06.922137,0.15126903263229388,214,47,6.3975823418958235,9.243150003926429,COMPLETE
89,89,0.3511651037226485,2023-04-05 21:41:57.915344,2023-04-05 21:42:13.739927,0 days 00:00:15.824583,0.09283527466974933,267,34,6.621978481460322,8.60126531102604,COMPLETE
90,90,0.34654731457800514,2023-04-05 21:42:13.740250,2023-04-05 21:42:37.926314,0 days 00:00:24.186064,0.06250722755284084,288,49,5.7039397830045955,8.933323690253431,COMPLETE
91,91,0.5607416879795397,2023-04-05 21:42:37.926717,2023-04-05 21:42:50.137620,0 days 00:00:12.210903,0.07072400019939244,182,49,6.892453352790678,9.56942429766009,COMPLETE
92,92,0.5363739698778062,2023-04-05 21:42:50.137936,2023-04-05 21:43:34.511353,0 days 00:00:44.373417,0.026013235237425533,182,50,7.66655889618182,9.55662773861785,COMPLETE
93,93,0.546106848536516,2023-04-05 21:43:34.511686,2023-04-05 21:43:43.779204,0 days 00:00:09.267518,0.1062541008697386,186,30,6.284712784193795,9.414773931700296,COMPLETE
94,94,0.4732168229610685,2023-04-05 21:43:43.779560,2023-04-05 21:43:59.316715,0 days 00:00:15.537155,0.07320637354394698,224,48,7.187130858287696,9.199989909052295,COMPLETE
95,95,0.5509377664109122,2023-04-05 21:43:59.317211,2023-04-05 21:44:06.301930,0 days 00:00:06.984719,0.12327123457882584,180,46,6.717101566749237,9.73635178534164,COMPLETE
96,96,0.5169082125603865,2023-04-05 21:44:06.302255,2023-04-05 21:44:35.608026,0 days 00:00:29.305771,0.03330524419827467,190,44,7.939329741161747,8.969575927397617,COMPLETE
97,97,0.5215970446149474,2023-04-05 21:44:35.608341,2023-04-05 21:44:41.154203,0 days 00:00:05.545862,0.18368040063598143,186,25,6.525324836595061,9.525637975434753,COMPLETE
98,98,0.49722932651321394,2023-04-05 21:44:41.154528,2023-04-05 21:44:47.549454,0 days 00:00:06.394926,0.14756365193504417,195,45,5.981273982944852,8.648905406144515,COMPLETE
99,99,0.5414180164819551,2023-04-05 21:44:47.549775,2023-04-05 21:45:02.998266,0 days 00:00:15.448491,0.06009879447400214,192,50,7.4583330694090275,9.280685560135183,COMPLETE
