,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
15,15,0.3073316283034953,2023-04-05 22:16:23.588108,2023-04-05 22:18:30.847555,0 days 00:02:07.259447,0.011950260719251003,183,12,154,0.12081576504934333,7.249465709182355,0.6835268721889546,COMPLETE
16,16,0.43918726911054273,2023-04-05 22:18:30.848040,2023-04-05 22:18:34.713379,0 days 00:00:03.865339,0.27191663145718636,180,16,187,0.5303563217677523,6.928572964568942,1.4946238660203504,COMPLETE
17,17,0.5119352088661552,2023-04-05 22:18:34.713710,2023-04-05 22:18:44.512013,0 days 00:00:09.798303,0.12035263383337165,200,18,120,1.1145800225216071,7.72498282882851,1.8605889455114095,COMPLETE
18,18,0.44359192952543336,2023-04-05 22:18:44.512366,2023-04-05 22:18:52.135367,0 days 00:00:07.623001,0.15999466319239278,212,19,112,2.0181753184269278,6.3943885377072185,1.9589385635438181,COMPLETE
19,19,0.4193662972435351,2023-04-05 22:18:52.135699,2023-04-05 22:18:56.544886,0 days 00:00:04.409187,0.3093503282728415,238,27,58,1.0082810245894,8.991840064873527,3.403596756463111,COMPLETE
20,20,0.48742540494458647,2023-04-05 22:18:56.545228,2023-04-05 22:18:58.911329,0 days 00:00:02.366101,0.5288592135449528,197,18,116,1.0416664892018028,7.701712334914227,2.074673768188001,COMPLETE
21,21,0.4581557260585394,2023-04-05 22:18:58.911680,2023-04-05 22:19:01.039223,0 days 00:00:02.127543,0.5877699980293273,196,19,126,0.9631647551216299,7.862031796425727,1.9057762484089,COMPLETE
22,22,0.3996874111963626,2023-04-05 22:19:01.039572,2023-04-05 22:19:03.373120,0 days 00:00:02.333548,0.5230085785012603,218,28,192,2.0082315078374178,8.397403159606164,1.4056739844580532,COMPLETE
23,23,0.5559818130150611,2023-04-05 22:19:03.373445,2023-04-05 22:19:13.413333,0 days 00:00:10.039888,0.1083455383481512,192,17,70,0.9920402011885231,6.25569680486978,2.93522370845815,COMPLETE
24,24,0.5214549587951123,2023-04-05 22:19:13.413655,2023-04-05 22:19:24.627618,0 days 00:00:11.213963,0.11857195783370103,232,14,63,0.6633364408520397,6.218225281809578,3.3054791927079203,COMPLETE
25,25,0.3999715828360329,2023-04-05 22:19:24.627961,2023-04-05 22:19:34.501651,0 days 00:00:09.873690,0.11053847070686179,189,13,56,0.5609499123389317,6.139699241671612,3.519532330280372,COMPLETE
26,26,0.46319977266268825,2023-04-05 22:19:34.501992,2023-04-05 22:19:39.702276,0 days 00:00:05.200284,0.22145755748939794,207,10,37,1.9684072834051558,4.888476108231731,4.450036443537624,COMPLETE
27,27,0.6096192100028417,2023-04-05 22:19:39.702610,2023-04-05 22:19:55.374094,0 days 00:00:15.671484,0.09147204230938123,240,15,72,0.606634869987815,6.373735428873689,2.93054896338802,COMPLETE
28,28,0.4583688547882921,2023-04-05 22:19:55.374412,2023-04-05 22:20:02.030513,0 days 00:00:06.656101,0.20786626673192576,246,14,64,0.6280410731214712,6.120891271463423,2.6624129996695767,COMPLETE
29,29,0.38022165387894286,2023-04-05 22:20:02.030903,2023-04-05 22:20:05.565287,0 days 00:00:03.534384,0.3530422226640819,233,16,39,2.534128224250075,4.398088072056466,4.774246518739887,COMPLETE
30,30,0.3754617789144643,2023-04-05 22:20:05.565604,2023-04-05 22:20:24.568211,0 days 00:00:19.002607,0.08342036017566612,298,49,67,3.1245202010835067,6.84430993861972,3.620499434516626,COMPLETE
31,31,0.5509377664109122,2023-04-05 22:20:24.568538,2023-04-05 22:20:34.841503,0 days 00:00:10.272965,0.11763199140291258,216,19,79,0.7295507730393254,6.088104319337051,2.855718828911204,COMPLETE
32,32,0.5949133276499005,2023-04-05 22:20:34.841844,2023-04-05 22:20:56.204961,0 days 00:00:21.363117,0.06826095440268247,251,20,78,0.587294106843083,5.917343685921859,2.865443276204325,COMPLETE
33,33,0.46319977266268825,2023-04-05 22:20:56.205321,2023-04-05 22:21:15.789618,0 days 00:00:19.584297,0.07269797453230598,250,26,76,1.6194135546645043,5.595666380443655,2.8332796523151678,COMPLETE
34,34,0.0,2023-04-05 22:21:15.789973,2023-04-05 22:21:23.340415,0 days 00:00:07.550442,0.17871640228017363,252,20,36,0.028580702028480176,4.965732989065862,3.6957685891478405,COMPLETE
35,35,0.6145211707871554,2023-04-05 22:21:23.340743,2023-04-05 22:21:43.998532,0 days 00:00:20.657789,0.06006288521419663,218,25,95,0.4597056318164162,7.002862151591734,4.095666481078988,COMPLETE
36,36,0.6240409207161125,2023-04-05 22:21:43.998860,2023-04-05 22:22:05.651782,0 days 00:00:21.652922,0.0624695645652755,240,30,106,0.4147041038847816,6.90960691585992,5.094891852937218,COMPLETE
37,37,0.6094771241830065,2023-04-05 22:22:05.652103,2023-04-05 22:22:27.888481,0 days 00:00:22.236378,0.06117759348255083,243,31,110,0.4981409381960166,6.999177322452035,5.568946497067806,COMPLETE
