,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
69,69,0.09285308326229043,2023-04-07 18:35:41.068564,2023-04-07 18:35:45.799027,0 days 00:00:04.730463,0.1432131673495185,0.08674192614121334,0.28812593273785997,0.5104883854248994,281,50,252,0.8161848646218799,5.9344805563652026,1.1224742692153749,COMPLETE
70,70,0.6097612958226769,2023-04-07 18:35:45.799386,2023-04-07 18:35:53.772114,0 days 00:00:07.972728,0.1927110091089393,0.20279884967417935,0.15481409629401263,0.5429560893494246,249,44,99,1.979006762856303,5.041986421469213,1.6658329416492803,COMPLETE
71,71,0.6292270531400965,2023-04-07 18:35:53.772481,2023-04-07 18:36:04.622531,0 days 00:00:10.850050,0.28761171037107564,0.06646314989610316,0.11947049712550556,0.6630838688208105,261,46,99,1.3473994899632435,5.093600845927848,2.353816966187439,COMPLETE
72,72,0.5122193805058255,2023-04-07 18:36:04.622911,2023-04-07 18:36:11.427155,0 days 00:00:06.804244,0.25572113077136366,0.07014890392422662,0.1815847473825972,0.6386756659853932,263,49,75,1.4747272039732102,4.213981917297643,1.4211780693368432,COMPLETE
73,73,0.5706876953680022,2023-04-07 18:36:11.427517,2023-04-07 18:36:22.402610,0 days 00:00:10.975093,0.27794653259273955,0.1175579647985124,0.11610484264960377,0.5805059198506048,257,46,85,1.0838363994162565,4.586243626618106,2.274771579562067,COMPLETE
74,74,0.5705456095481671,2023-04-07 18:36:22.402960,2023-04-07 18:36:30.148150,0 days 00:00:07.745190,0.06315537736483726,0.1605728136418593,0.16620767725186436,0.7157742056052487,262,45,124,2.3435365547210467,5.359899127013689,2.912703588684054,COMPLETE
75,75,0.5998863313441318,2023-04-07 18:36:30.148519,2023-04-07 18:36:35.226196,0 days 00:00:05.077677,0.2937806338012005,0.02061079295510318,0.2447741577900428,0.6136327367914581,254,48,92,0.5175567609157494,5.849197853227769,2.5590128961804552,COMPLETE
76,76,0.46334185848252346,2023-04-07 18:36:35.226573,2023-04-07 18:36:41.514025,0 days 00:00:06.287452,0.1145976224043414,0.0693086900177097,0.20274056250234201,0.6571889330724002,265,47,139,0.8424791344767352,5.115792736582313,2.0050999496015027,COMPLETE
77,77,0.6144501278772379,2023-04-07 18:36:41.514413,2023-04-07 18:36:53.965950,0 days 00:00:12.451537,0.22217198232230662,0.12857220687009718,0.10199139770433571,0.702279635251293,259,43,104,1.6381647771259455,3.4580061354772216,3.1874112184045074,COMPLETE
78,78,0.49261153736857066,2023-04-07 18:36:53.966341,2023-04-07 18:37:04.388599,0 days 00:00:10.422258,0.16436284870535312,0.00038208090688292284,0.1267705576091313,0.7430606071471562,268,46,70,1.264980112380891,4.721138642317625,2.793356102067764,COMPLETE
79,79,0.5949133276499005,2023-04-07 18:37:04.389003,2023-04-07 18:37:12.515166,0 days 00:00:08.126163,0.03364725478414757,0.05422549886391109,0.15379939403530044,0.6841340620392157,256,49,116,0.40551423781164103,5.632233082833246,2.1991437306724118,COMPLETE
80,80,0.25348110258596196,2023-04-07 18:37:12.515539,2023-04-07 18:37:20.269580,0 days 00:00:07.754041,0.07609955006137693,0.19079284188295778,0.17865190009875212,0.5901936954718324,270,45,55,0.6482880235415307,6.26951424497001,3.4620001316815787,COMPLETE
81,81,0.6194231315714691,2023-04-07 18:37:20.269941,2023-04-07 18:37:29.777330,0 days 00:00:09.507389,0.20276811309877274,0.033935225588797725,0.13367619158218322,0.6651223488987112,261,47,100,1.3974107009624221,4.9909057890337625,2.4022385454621777,COMPLETE
82,82,0.5267831770389315,2023-04-07 18:37:29.777691,2023-04-07 18:37:35.549036,0 days 00:00:05.771345,0.24312092809368432,0.09163216903810664,0.2106644402080869,0.663495595291909,258,48,82,1.9300791830109727,4.42371553329472,1.652821544562318,COMPLETE
83,83,0.6391020176186416,2023-04-07 18:37:35.549407,2023-04-07 18:37:45.240802,0 days 00:00:09.691395,0.3184126004033648,0.02513575998925191,0.12956378137732927,0.635656050010107,260,50,97,1.5875612163955335,4.828476902314545,2.541234239043473,COMPLETE
84,84,0.6292270531400966,2023-04-07 18:37:45.241179,2023-04-07 18:37:53.412201,0 days 00:00:08.171022,0.3123664782586581,0.027094392057150363,0.15448454304314518,0.6276932804742966,261,50,94,1.6368671944830098,5.0998748508838325,2.6143374643262294,COMPLETE
85,85,0.6194941744813868,2023-04-07 18:37:53.412573,2023-04-07 18:38:01.865658,0 days 00:00:08.453085,0.33125780908585434,0.03060136837146671,0.14885302063799238,0.6361520099150786,261,50,98,2.198916710428817,5.076690558715097,2.565987638938761,COMPLETE
86,86,0.5851804489911907,2023-04-07 18:38:01.866031,2023-04-07 18:38:10.182901,0 days 00:00:08.316870,0.3288941366516148,0.018578328134908922,0.1552126526374165,0.6306130391655941,263,49,123,2.5800720221463367,5.367563117953775,2.647653718544685,COMPLETE
87,87,0.6096192100028417,2023-04-07 18:38:10.183277,2023-04-07 18:38:16.564947,0 days 00:00:06.381670,0.3504933449349328,0.059316626094160156,0.18799196860028616,0.6924268825793062,259,50,96,2.2010381069406164,4.16212120288135,3.1240808412558643,COMPLETE
88,88,0.5560528559249787,2023-04-07 18:38:16.565314,2023-04-07 18:38:27.118749,0 days 00:00:10.553435,0.30761780972805686,0.03178926817956891,0.11819925223602513,0.5580433452781127,256,50,83,1.742479939796535,4.844994798695119,2.18634650350351,COMPLETE
89,89,0.37574595055413473,2023-04-07 18:38:27.119134,2023-04-07 18:38:32.426537,0 days 00:00:05.307403,0.37761889009602356,0.05257691933285307,0.23942843817150683,0.637752595268225,265,48,161,1.1743106987280931,5.118918204330028,2.855196724552253,COMPLETE
90,90,0.6096192100028417,2023-04-07 18:38:32.426903,2023-04-07 18:38:40.230670,0 days 00:00:07.803767,0.29557116531533423,0.09682920023389105,0.15388008367633135,0.6103046512672852,252,50,109,1.9391317485223514,4.6301514088354265,1.9191606413000564,COMPLETE
91,91,0.6243250923557828,2023-04-07 18:38:40.231045,2023-04-07 18:38:50.237568,0 days 00:00:10.006523,0.20389096824626948,0.02590666355841148,0.12852346926405145,0.661205283167615,261,47,100,1.4004567137145394,5.043735847937454,2.3945570197207493,COMPLETE
92,92,0.6194941744813868,2023-04-07 18:38:50.237956,2023-04-07 18:38:57.516780,0 days 00:00:07.278824,0.27662427043658355,0.08206610762845369,0.1728239431122559,0.5972338006389927,260,49,93,0.9819868840845993,5.522487211288891,2.5727553762541038,COMPLETE
93,93,0.5462489343563512,2023-04-07 18:38:57.517180,2023-04-07 18:39:08.169748,0 days 00:00:10.652568,0.27308880324423634,0.00017483780574480828,0.12288104988880039,0.6574841994773033,262,49,78,1.531659870181193,5.733358600860616,2.548446593792477,COMPLETE
94,94,0.36551577152600173,2023-04-07 18:39:08.170125,2023-04-07 18:39:15.533619,0 days 00:00:07.363494,0.3153256795304117,0.07745240683155664,0.17463403827459317,0.6960650225481272,260,46,61,0.8805310849896848,5.4640810488646405,1.8406298591739998,COMPLETE
95,95,0.6046462063086104,2023-04-07 18:39:15.534000,2023-04-07 18:39:21.937272,0 days 00:00:06.403272,0.34556373227985054,0.031352581801119946,0.19837346364006087,0.7469537140166281,264,48,112,2.1012672335375404,5.1350965578925685,2.3274246883060354,COMPLETE
96,96,0.6146632566069906,2023-04-07 18:39:21.937661,2023-04-07 18:39:35.460045,0 days 00:00:13.522384,0.2435093608153372,0.05360971619193518,0.10316352828842032,0.6383059974153531,257,27,93,1.0395609269466524,5.485171198340183,2.072908551844604,COMPLETE
97,97,0.49254049445865294,2023-04-07 18:39:35.460421,2023-04-07 18:39:45.875527,0 days 00:00:10.415106,0.2913697974721194,0.023540958813585516,0.13868676768778446,0.5971221178164773,286,50,68,2.744138843602178,5.823314755243379,1.539181342930667,COMPLETE
98,98,0.6337737993748225,2023-04-07 18:39:45.875899,2023-04-07 18:39:52.027498,0 days 00:00:06.151599,0.2613572236057161,0.08386733153306974,0.21480740747754903,0.5630799830741723,277,49,103,1.2621564426689675,4.9065015807020105,3.119522779538129,COMPLETE
99,99,0.5462489343563511,2023-04-07 18:39:52.027868,2023-04-07 18:39:58.485391,0 days 00:00:06.457523,0.22701770754723685,0.11804416770531748,0.20474211515840146,0.5505246199546163,274,46,131,2.410607556014791,4.849261361463449,3.2842106984032142,COMPLETE
100,100,0.6094771241830065,2023-04-07 18:39:58.485773,2023-04-07 18:40:04.235463,0 days 00:00:05.749690,0.2079799755319179,0.10300486292221869,0.22992465782108748,0.6257630065840233,279,48,104,1.6153401580962574,4.403158342246876,2.736878212926858,COMPLETE
