,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
18,18,0.0683432793407218,2023-04-06 16:46:30.396068,2023-04-06 16:46:38.424315,0 days 00:00:08.028247,0.16190140065255648,203,789.419374613364,296,46,2.4011262050038082,7.098952432140308,COMPLETE
19,19,0.44387610116510373,2023-04-06 16:46:38.424637,2023-04-06 16:46:48.516096,0 days 00:00:10.091459,0.14192265918990965,148,520.925228781994,267,10,3.7378506028488365,6.958753977151876,COMPLETE
20,20,0.5753765274225632,2023-04-06 16:46:48.516421,2023-04-06 16:47:00.214159,0 days 00:00:11.697738,0.13289412774545162,86,705.0151909073132,299,38,5.083804954972853,6.014226105035995,COMPLETE
21,21,0.6193520886615516,2023-04-06 16:47:00.214504,2023-04-06 16:47:41.347918,0 days 00:00:41.133414,0.040639126517857116,93,716.0001843825167,299,37,5.20830696955435,6.035835912628145,COMPLETE
22,22,0.590153452685422,2023-04-06 16:47:41.348376,2023-04-06 16:48:55.554235,0 days 00:01:14.205859,0.023151515271912615,78,710.9809281778839,300,37,4.758799079101129,6.418166741585001,COMPLETE
23,23,0.4681727763569196,2023-04-06 16:48:55.554796,2023-04-06 16:52:00.923029,0 days 00:03:05.368233,0.011814010133447,32,687.246708887659,300,37,4.753086431535077,4.463525768918841,COMPLETE
24,24,0.5656436487638534,2023-04-06 16:52:00.923484,2023-04-06 16:54:32.310995,0 days 00:02:31.387511,0.013325859691491842,75,707.8052854671627,274,31,5.299045429416201,6.189708825529988,COMPLETE
25,25,0.47776356919579427,2023-04-06 16:54:32.311457,2023-04-06 16:54:46.566002,0 days 00:00:14.254545,0.10777981797681535,60,886.9422873575661,290,35,4.349654868367037,7.691664620307619,COMPLETE
26,26,0.46341290139244107,2023-04-06 16:54:46.566494,2023-04-06 16:55:00.290240,0 days 00:00:13.723746,0.11199145770592084,24,581.7653458001097,288,39,6.637021555961285,5.209587442882206,COMPLETE
27,27,0.5801364023870418,2023-04-06 16:55:00.290614,2023-04-06 16:55:21.711355,0 days 00:00:21.420741,0.07054995197102193,88,853.8512318499336,264,26,5.6156744843877355,6.141127617294865,COMPLETE
28,28,0.5119352088661551,2023-04-06 16:55:21.711704,2023-04-06 16:58:41.421561,0 days 00:03:19.709857,0.01060375363789329,134,881.9377545054007,265,25,5.7763782228435225,6.466682619388295,COMPLETE
