,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
68,68,0.385407786302927,2023-04-06 19:41:00.368347,2023-04-06 19:41:28.536148,0 days 00:00:28.167801,0.06427221367767337,299,11,6.214808060898578,50,5.58278969267932,6.247731222029676,COMPLETE
69,69,0.5412759306621199,2023-04-06 19:41:28.536496,2023-04-06 19:43:37.826688,0 days 00:02:09.290192,0.012105955340702395,200,12,6.88051929169974,89,5.091266996100905,6.488147959468627,COMPLETE
70,70,0.4047314578005115,2023-04-06 19:43:37.827021,2023-04-06 19:43:55.186735,0 days 00:00:17.359714,0.09803282506783409,289,19,5.8306252886058285,114,6.452980466347391,5.0962417607188,COMPLETE
71,71,0.5559107701051434,2023-04-06 19:43:55.187225,2023-04-06 19:44:17.026104,0 days 00:00:21.838879,0.05164962274310105,190,14,5.95435120584246,79,4.781536078898103,4.677967481378738,COMPLETE
72,72,0.5899403239556692,2023-04-06 19:44:17.026446,2023-04-06 19:44:32.994350,0 days 00:00:15.967904,0.06694272890444508,184,14,5.607659435378665,102,5.012111176659388,5.607886518654548,COMPLETE
73,73,0.5850383631713555,2023-04-06 19:44:32.994701,2023-04-06 19:44:41.047194,0 days 00:00:08.052493,0.12516979108981513,184,16,5.572627593390775,99,4.53963279796835,5.6907071747395594,COMPLETE
74,74,0.5850383631713555,2023-04-06 19:44:41.047557,2023-04-06 19:44:48.920792,0 days 00:00:07.873235,0.12656733319022861,184,16,5.489812753582054,100,4.164233639706764,5.53035150995211,COMPLETE
75,75,0.5264990053992611,2023-04-06 19:44:48.921142,2023-04-06 19:44:54.000451,0 days 00:00:05.079309,0.20363845822351115,194,19,5.480966831021811,101,4.1863134476853014,5.69267132979166,COMPLETE
76,76,0.5900824097755044,2023-04-06 19:44:54.000822,2023-04-06 19:45:01.729607,0 days 00:00:07.728785,0.13307864371756853,184,17,5.612654812377553,122,4.566561649020835,5.117249239541519,COMPLETE
77,77,0.5513640238704177,2023-04-06 19:45:01.729966,2023-04-06 19:45:08.621609,0 days 00:00:06.891643,0.14214490341444422,185,21,5.256164260310104,159,4.569912361742553,5.0981910125942225,COMPLETE
78,78,0.5414180164819551,2023-04-06 19:45:08.621940,2023-04-06 19:45:14.710732,0 days 00:00:06.088792,0.16581120206356617,192,16,5.521290675868007,120,3.7541505327879183,6.1488220951030845,COMPLETE
79,79,0.42909917590224494,2023-04-06 19:45:14.711064,2023-04-06 19:45:26.188440,0 days 00:00:11.477376,0.12265809306417676,265,25,5.661975173864119,112,4.327127237752239,5.752687679629702,COMPLETE
80,80,0.516979255470304,2023-04-06 19:45:26.188786,2023-04-06 19:45:31.223938,0 days 00:00:05.035152,0.1961944015436809,189,17,5.117426039043341,132,4.159293565750479,5.055227347332967,COMPLETE
81,81,0.5850383631713555,2023-04-06 19:45:31.224274,2023-04-06 19:45:42.784454,0 days 00:00:11.560180,0.08690529058992932,184,17,4.838991109753739,102,3.7842249487495963,5.470480284534924,COMPLETE
82,82,0.5753054845126456,2023-04-06 19:45:42.784827,2023-04-06 19:45:53.862263,0 days 00:00:11.077436,0.09061235097632178,184,17,5.368097380643324,102,3.7170260494210794,4.793508591334392,COMPLETE
83,83,0.5705456095481671,2023-04-06 19:45:53.862625,2023-04-06 19:46:02.578505,0 days 00:00:08.715880,0.12398152761400727,199,19,4.780744135480413,89,4.576588320562951,5.199973058637811,COMPLETE
84,84,0.5802074452969593,2023-04-06 19:46:02.578882,2023-04-06 19:46:09.512467,0 days 00:00:06.933585,0.1405397079628246,187,21,4.983125778343396,106,3.8784691073858792,5.568852678663817,COMPLETE
85,85,0.5706166524580847,2023-04-06 19:46:09.512804,2023-04-06 19:46:15.304540,0 days 00:00:05.791736,0.16284164411125196,187,22,4.898884163897645,108,3.4338008913182727,5.638462037749899,COMPLETE
86,86,0.5512219380505826,2023-04-06 19:46:15.304883,2023-04-06 19:46:22.415816,0 days 00:00:07.110933,0.14092464536485633,192,21,5.155453319863685,137,4.091544456810332,6.067181826737667,COMPLETE
87,87,0.463412901392441,2023-04-06 19:46:22.416168,2023-04-06 19:46:26.572851,0 days 00:00:04.156683,0.24225082107526075,197,20,4.963472433082087,152,3.7642085911557737,5.827619055791459,COMPLETE
88,88,0.5706166524580847,2023-04-06 19:46:26.573199,2023-04-06 19:46:31.118132,0 days 00:00:04.544933,0.20476848711238205,184,23,5.347733759505147,99,3.9384948655776952,6.619185718519453,COMPLETE
89,89,0.5803495311167945,2023-04-06 19:46:31.118483,2023-04-06 19:46:40.555781,0 days 00:00:09.437298,0.10966452533266517,189,18,5.646718401663357,121,4.357749423086108,4.827725137423261,COMPLETE
90,90,0.5024154589371981,2023-04-06 19:46:40.556122,2023-04-06 19:46:50.412454,0 days 00:00:09.856332,0.10621346113126606,190,18,5.656134376758445,175,4.6823300980884,4.236066393623671,COMPLETE
91,91,0.5754475703324808,2023-04-06 19:46:50.412828,2023-04-06 19:47:03.564250,0 days 00:00:13.151422,0.07902079539431947,187,16,5.087341647301726,120,4.393964500422928,4.800586238498126,COMPLETE
92,92,0.5947712418300654,2023-04-06 19:47:03.564589,2023-04-06 19:47:10.751967,0 days 00:00:07.187378,0.13418019852590296,183,18,5.535300960887755,94,4.072010790074202,5.526473760180458,COMPLETE
93,93,0.5852514919011083,2023-04-06 19:47:10.752307,2023-04-06 19:47:16.430862,0 days 00:00:05.678555,0.16861494461384285,183,17,5.5115089875095205,127,4.112631454558024,4.569784162360316,COMPLETE
94,94,0.5850383631713555,2023-04-06 19:47:16.431232,2023-04-06 19:47:21.837377,0 days 00:00:05.406145,0.17861335545253737,183,17,5.302961978907982,91,4.121672121058823,5.1584676831031935,COMPLETE
95,95,0.5363739698778062,2023-04-06 19:47:21.837713,2023-04-06 19:47:35.103998,0 days 00:00:13.266285,0.0789391743016666,194,19,5.456080587505069,128,3.55220251297202,4.566088867900728,COMPLETE
96,96,0.6045751633986928,2023-04-06 19:47:35.104354,2023-04-06 19:47:43.002362,0 days 00:00:07.898008,0.12847824769415606,183,16,5.772590949034339,97,4.553405611866944,5.447700879413349,COMPLETE
97,97,0.5947712418300654,2023-04-06 19:47:43.002723,2023-04-06 19:47:49.409374,0 days 00:00:06.406651,0.15798501561999548,182,14,6.17928283999017,113,4.835737501574187,5.823003246878832,COMPLETE
98,98,0.5462489343563512,2023-04-06 19:47:49.409708,2023-04-06 19:47:55.463043,0 days 00:00:06.053335,0.16470817447110925,182,15,6.172638604755114,145,4.742811383799941,5.832866187873736,COMPLETE
99,99,0.5120062517760727,2023-04-06 19:47:55.463384,2023-04-06 19:48:00.377886,0 days 00:00:04.914502,0.21303457406302717,196,14,5.859563399924506,72,4.516012347309093,6.2180222998627865,COMPLETE
100,100,0.5560528559249787,2023-04-06 19:48:00.378231,2023-04-06 19:48:05.956623,0 days 00:00:05.578392,0.18787732658274348,192,13,6.4262672970468815,115,4.780978495506467,5.239660043897392,COMPLETE
101,101,0.5996732026143791,2023-04-06 19:48:05.956966,2023-04-06 19:48:14.008068,0 days 00:00:08.051102,0.12523639179755636,186,16,5.721497157311307,97,4.216180943992618,5.015659342954146,COMPLETE
102,102,0.5849673202614379,2023-04-06 19:48:14.008415,2023-04-06 19:48:20.079180,0 days 00:00:06.070765,0.1609821802776528,182,18,5.787827727004203,94,4.476510520460165,4.985137675572581,COMPLETE
103,103,0.5947712418300654,2023-04-06 19:48:20.079533,2023-04-06 19:48:28.623387,0 days 00:00:08.543854,0.11801579115138844,186,16,5.654867276313692,87,3.982710968925185,4.611779287214232,COMPLETE
104,104,0.5947712418300654,2023-04-06 19:48:28.623764,2023-04-06 19:48:44.391980,0 days 00:00:15.768216,0.06631938338404804,186,14,5.743501817973082,85,4.063357410956563,4.571783890304053,COMPLETE
105,105,0.4440181869849389,2023-04-06 19:48:44.392328,2023-04-06 19:48:51.265811,0 days 00:00:06.873483,0.14782921023154916,186,13,5.722979757490373,251,4.0291192338487285,4.062956259793259,COMPLETE
106,106,0.5656436487638534,2023-04-06 19:48:51.266157,2023-04-06 19:49:02.750137,0 days 00:00:11.483980,0.09012985599428475,189,14,6.205643425257131,110,3.548099323599097,4.509199363607009,COMPLETE
107,107,0.5412759306621199,2023-04-06 19:49:02.750474,2023-04-06 19:49:08.274612,0 days 00:00:05.524138,0.18458626189916028,187,11,5.222059600142073,87,4.2396231557609685,4.992018891288847,COMPLETE
108,108,0.560670645069622,2023-04-06 19:49:08.274956,2023-04-06 19:49:45.025020,0 days 00:00:36.750064,0.030249518932616806,191,20,5.78592426925852,95,4.914730731708256,4.755572094209085,COMPLETE
109,109,0.4340721795964762,2023-04-06 19:49:45.025368,2023-04-06 19:49:58.078877,0 days 00:00:13.053509,0.10784665729917751,253,12,5.362197428984445,127,3.991630241313082,4.657019337393841,COMPLETE
110,110,0.5167661267405513,2023-04-06 19:49:58.079241,2023-04-06 19:50:02.363198,0 days 00:00:04.283957,0.247440978377023,202,15,6.148739476933156,69,3.1655368584675814,4.3715216713683835,COMPLETE
111,111,0.6045041204887752,2023-04-06 19:50:02.363537,2023-04-06 19:50:16.169519,0 days 00:00:13.805982,0.07357333734773827,182,17,6.002691846901242,86,4.300973786010966,5.3424168130873655,COMPLETE
112,112,0.6045041204887752,2023-04-06 19:50:16.169855,2023-04-06 19:50:30.577932,0 days 00:00:14.408077,0.07166730614124363,182,17,6.358563494612079,85,4.739391554546532,5.401516442479043,COMPLETE
113,113,0.5704745666382495,2023-04-06 19:50:30.578273,2023-04-06 19:50:46.600913,0 days 00:00:16.022640,0.05903882703868066,185,35,6.339475401745812,72,4.672056297589715,5.334062702623578,COMPLETE
114,114,0.5754475703324808,2023-04-06 19:50:46.601255,2023-04-06 19:51:01.937910,0 days 00:00:15.336655,0.07046196726272805,189,18,6.1271501529384444,75,5.273060413906405,5.123654382590099,COMPLETE
115,115,0.5655015629440182,2023-04-06 19:51:01.938268,2023-04-06 19:51:30.603954,0 days 00:00:28.665686,0.037471806944834096,182,15,6.615151649840774,85,5.071981685738558,4.916861449075206,COMPLETE
116,116,0.5996732026143791,2023-04-06 19:51:30.604480,2023-04-06 19:51:40.781507,0 days 00:00:10.177027,0.10037154696954526,180,14,6.097285279720208,86,4.924741821141294,5.941141450432997,COMPLETE
117,117,0.6143080420574026,2023-04-06 19:51:40.782014,2023-04-06 19:51:50.033484,0 days 00:00:09.251470,0.10725380352083547,180,17,6.045827655038337,87,4.814468191066435,5.425116429781279,COMPLETE
118,118,0.6094060812730889,2023-04-06 19:51:50.033842,2023-04-06 19:51:59.925117,0 days 00:00:09.891275,0.09958568621306318,180,19,5.994472619191981,87,4.82321314673925,6.036538023437591,COMPLETE
119,119,0.08297811878374539,2023-04-06 19:51:59.925477,2023-04-06 19:52:07.789282,0 days 00:00:07.863805,0.10226124187091612,180,50,6.456041950590423,63,4.813988691258732,5.414992446303292,COMPLETE
