,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
82,82,0.6435777209434499,2023-04-07 18:07:32.243484,2023-04-07 18:07:39.607589,0 days 00:00:07.364105,0.19202683212481825,0.8238455467067374,0.2026616043474473,0.36072546785849613,109,66.93664327316824,270,32,8.47071914151363,1.415809976905943,COMPLETE
83,83,0.6732026143790849,2023-04-07 18:07:39.607972,2023-04-07 18:07:55.508365,0 days 00:00:15.900393,0.1205780435762446,0.9251755989301648,0.1001577995374919,0.4712603136364304,96,75.69317620947261,276,30,9.980604790299882,0.7978169886497557,COMPLETE
84,84,0.5997442455242966,2023-04-07 18:07:55.508744,2023-04-07 18:08:05.381889,0 days 00:00:09.873145,0.10871370611739159,0.962529724304302,0.15796142844456695,0.4110484620992576,72,193.72826156640792,277,30,9.71801300353669,0.8489657188741548,COMPLETE
85,85,0.6631855640807047,2023-04-07 18:08:05.382276,2023-04-07 18:08:18.967177,0 days 00:00:13.584901,0.11544570025292088,0.9309309923763747,0.11961419414312047,0.5593305127173872,95,127.01327180205905,284,31,9.369771813805508,0.7435045710055528,COMPLETE
86,86,0.6291560102301791,2023-04-07 18:08:18.967554,2023-04-07 18:08:33.958690,0 days 00:00:14.991136,0.15795694449776426,0.9959834532493586,0.10612127393308103,0.47442618682291254,81,160.4963237689641,272,26,9.868520056152525,1.1119761775005514,COMPLETE
87,87,0.6826513213981245,2023-04-07 18:08:33.959072,2023-04-07 18:08:50.344039,0 days 00:00:16.384967,0.0508027235616834,0.9011240968619935,0.10033161029380093,0.5244100120857661,116,92.75626590058425,281,29,9.955358425944578,0.6852164388020721,COMPLETE
88,88,0.6680164819551009,2023-04-07 18:08:50.344420,2023-04-07 18:08:58.873494,0 days 00:00:08.529074,0.05611457492961645,0.8644441104104928,0.18979978303747325,0.3680469406644495,115,90.67017000880556,289,29,9.522630320232446,0.7122038167866509,COMPLETE
89,89,0.41439329354930377,2023-04-07 18:08:58.873890,2023-04-07 18:09:09.282439,0 days 00:00:10.408549,0.0815331871472056,0.9458154752304427,0.1556250029342737,0.5192552598439466,138,28.294767050577704,281,23,9.95197443948127,0.5201561320524261,COMPLETE
90,90,0.6633986928104575,2023-04-07 18:09:09.282835,2023-04-07 18:09:24.282626,0 days 00:00:14.999791,0.2188530890770505,0.9183017527698852,0.1029126277014484,0.493639079983486,101,73.82945956287293,265,27,9.264906155966518,1.0762081780871162,COMPLETE
91,91,0.6533105996021596,2023-04-07 18:09:24.282997,2023-04-07 18:09:33.117400,0 days 00:00:08.834403,0.03855693498893051,0.8593476426355292,0.18902555314535005,0.38256628548798305,116,95.21281321002884,297,28,9.510507294760213,0.7208528401516258,COMPLETE
