,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
116,116,0.5729166666666666,2023-04-04 04:26:12.660458,2023-04-04 04:26:21.554149,0 days 00:00:08.893691,0.09200759503562135,300,22,121,6.751210561105934,7.148445072865038,3.921949902701152,COMPLETE
117,117,0.6510416666666666,2023-04-04 04:26:21.554505,2023-04-04 04:26:35.749810,0 days 00:00:14.195305,0.05538687004424284,287,25,111,7.028475315442911,6.720517889927667,4.227235003759612,COMPLETE
118,118,0.6614583333333334,2023-04-04 04:26:35.750171,2023-04-04 04:27:00.270434,0 days 00:00:24.520263,0.03227961649902793,279,23,91,6.989623730384548,7.522919746126664,4.361322060555857,COMPLETE
119,119,0.6770833333333334,2023-04-04 04:27:00.270854,2023-04-04 04:27:10.641732,0 days 00:00:10.370878,0.07771696432643567,292,21,102,7.255650299372286,8.041945479801262,4.515775974152612,COMPLETE
120,120,0.6666666666666666,2023-04-04 04:27:10.642103,2023-04-04 04:27:20.927121,0 days 00:00:10.285018,0.0800722207328099,296,20,103,6.902861617656449,8.155521337247604,4.677048714980185,COMPLETE
121,121,0.6354166666666666,2023-04-04 04:27:20.927479,2023-04-04 04:27:27.159070,0 days 00:00:06.231591,0.12634276876986386,294,21,108,7.269160769103175,7.9519079983770755,4.501805189080248,COMPLETE
122,122,0.6770833333333334,2023-04-04 04:27:27.159415,2023-04-04 04:27:35.123498,0 days 00:00:07.964083,0.0963846229200255,285,26,97,7.1152674146323935,7.7010859828586575,3.9995106636091666,COMPLETE
123,123,0.6822916666666666,2023-04-04 04:27:35.123848,2023-04-04 04:27:47.210353,0 days 00:00:12.086505,0.06424390466076751,287,26,99,6.496141812307625,7.761242548830872,3.82180544588537,COMPLETE
124,124,0.6458333333333334,2023-04-04 04:27:47.210742,2023-04-04 04:27:58.899569,0 days 00:00:11.688827,0.06659037815539304,286,26,89,7.104695937932445,7.752365808669496,3.84605284257806,COMPLETE
125,125,0.5416666666666666,2023-04-04 04:27:58.899930,2023-04-04 04:28:33.682515,0 days 00:00:34.782585,0.02666434391054065,273,28,79,6.5397049258255695,8.044621392757566,4.072073569264544,COMPLETE
126,126,0.6614583333333334,2023-04-04 04:28:33.683053,2023-04-04 04:28:41.016578,0 days 00:00:07.333525,0.09863815534468547,289,46,100,6.435293210118725,8.40259109231792,4.9278578434040154,COMPLETE
127,127,0.5260416666666666,2023-04-04 04:28:41.016931,2023-04-04 04:28:50.923992,0 days 00:00:09.907061,0.07669528776328491,282,26,133,6.748481684404658,7.3938395977676725,4.197885777609734,COMPLETE
128,128,0.6145833333333334,2023-04-04 04:28:50.924358,2023-04-04 04:28:55.583872,0 days 00:00:04.659514,0.15871141719872686,285,27,117,7.488428809792185,7.710593508642925,3.7407793319593394,COMPLETE
129,129,0.5520833333333334,2023-04-04 04:28:55.584220,2023-04-04 04:29:13.760381,0 days 00:00:18.176161,0.044128992349281825,291,24,125,6.909969760914032,6.938556097239916,4.527332105826413,COMPLETE
130,130,0.609375,2023-04-04 04:29:13.760748,2023-04-04 04:30:26.771233,0 days 00:01:13.010485,0.014154389602767381,278,25,85,6.57783217964737,7.889889969149532,4.006965301301355,COMPLETE
131,131,0.6822916666666666,2023-04-04 04:30:26.771588,2023-04-04 04:30:41.622162,0 days 00:00:14.850574,0.05393463864582099,288,23,99,7.321699166286377,7.549651333445231,3.4189605538142547,COMPLETE
132,132,0.6927083333333334,2023-04-04 04:30:41.622667,2023-04-04 04:30:54.511025,0 days 00:00:12.888358,0.06237692283549556,294,24,95,7.14518205099915,7.154503222059854,3.5014700279837845,COMPLETE
