,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_c1,params_c2,params_gamma,params_max_bpm,params_min_bpm,params_time_window,params_w,state
53,53,0.04894856493321966,2023-04-11 14:01:02.047544,2023-04-11 14:02:44.114980,0 days 00:01:42.067436,0.17400386345384244,0.8859261022130474,0.8726162822294155,0.35519872193199176,0.7790376927780012,180,47,7,0.5288783199972635,COMPLETE
54,54,0.029198635976129584,2023-04-11 14:02:44.115324,2023-04-11 14:04:25.414781,0 days 00:01:41.299457,0.26374466128047686,0.9753998426571998,0.7483859002650582,0.3943262469383475,0.866487515752355,209,45,8,0.5727388870622173,COMPLETE
55,55,0.0829070758738278,2023-04-11 14:04:25.415277,2023-04-11 14:06:07.079981,0 days 00:01:41.664704,0.32853197252027866,0.8521838458967362,0.8308468140471258,0.4569812265949762,0.7995451218102971,194,42,6,0.4686101666165233,COMPLETE
56,56,0.024438761011651034,2023-04-11 14:06:07.080345,2023-04-11 14:07:48.868392,0 days 00:01:41.788047,0.3257478118382167,0.8490603186356483,0.9426889729135312,0.4489878624539083,0.966986848497776,193,39,5,0.4567976969239515,COMPLETE
57,57,0.04383347541915317,2023-04-11 14:07:48.868728,2023-04-11 14:09:30.463252,0 days 00:01:41.594524,0.409027580725486,0.7967701654761646,0.8349867007492693,0.5122205939806759,0.8035274093022575,201,42,6,0.4540719717287869,COMPLETE
58,58,0.08297811878374538,2023-04-11 14:09:30.463752,2023-04-11 14:11:13.147118,0 days 00:01:42.683366,0.38441697541053804,0.9244177814224256,0.8958917848846675,0.545705111414363,0.8899552411255706,281,38,4,0.5112333737775955,COMPLETE
59,59,0.029269678886047173,2023-04-11 14:11:13.147474,2023-04-11 14:12:56.395152,0 days 00:01:43.247678,0.37634646746614353,0.7069510036226225,0.8917626325614292,0.5739565595370025,0.9971491221789283,273,37,4,0.40362990782988517,COMPLETE
60,60,0.05370843989769821,2023-04-11 14:12:56.395498,2023-04-11 14:14:38.345862,0 days 00:01:41.950364,0.45918449126997013,0.9209414562566248,0.8557397746799712,0.4858041157950608,0.9266025316708772,283,40,5,0.5069162095375475,COMPLETE
61,61,0.03410059676044331,2023-04-11 14:14:38.346349,2023-04-11 14:16:21.658890,0 days 00:01:43.312541,0.39521289494401524,0.8917144585364051,0.7688830732943273,0.5486955634551308,0.8861340742554588,300,42,3,0.47277138730603924,COMPLETE
62,62,0.09249786871270248,2023-04-11 14:16:21.659242,2023-04-11 14:18:03.062555,0 days 00:01:41.403313,0.031648523146366236,0.8343789283399962,0.8267612046943086,0.44529571615318825,0.8352010389749394,248,44,9,0.5187183307706505,COMPLETE
63,63,0.0486643932935493,2023-04-11 14:18:03.062929,2023-04-11 14:19:44.981504,0 days 00:01:41.918575,0.02562602519832368,0.8133782775398042,0.9589010459599944,0.44785628114536696,0.8156030907244434,256,10,5,0.4463998058680897,COMPLETE
64,64,0.04376243250923558,2023-04-11 14:19:44.982013,2023-04-11 14:21:24.300877,0 days 00:01:39.318864,0.3247612607176762,0.859028037911161,0.9014801724385693,0.3874406400638542,0.8358408186602233,266,44,9,0.549872708772029,COMPLETE
65,65,0.03900255754475704,2023-04-11 14:21:24.301256,2023-04-11 14:23:07.790866,0 days 00:01:43.489610,0.03311214754823849,0.8393107891403173,0.8235208422836284,0.4259736470454621,0.8836013425368385,290,38,4,0.5081732606374573,COMPLETE
66,66,0.04404660414890594,2023-04-11 14:23:07.791218,2023-04-11 14:24:48.479935,0 days 00:01:40.688717,0.08148132193781521,0.7681221330555464,0.8645926667800427,0.3251229026721128,0.9323701708069781,244,40,10,0.5931383033583089,COMPLETE
67,67,0.029269678886047173,2023-04-11 14:24:48.480464,2023-04-11 14:26:31.368170,0 days 00:01:42.887706,0.28643734161466616,0.8712323450855011,0.9339331660891741,0.4864802802054772,0.9596408228031713,262,46,2,0.332011906525956,COMPLETE
68,68,0.06344131855640807,2023-04-11 14:26:31.368530,2023-04-11 14:28:14.877583,0 days 00:01:43.509053,0.20156358229704097,0.9246509166597467,0.9805896405633754,0.514964784532107,0.8543828172146574,246,44,3,0.5592813134950546,COMPLETE
69,69,0.03410059676044331,2023-04-11 14:28:14.877957,2023-04-11 14:29:56.731125,0 days 00:01:41.853168,0.005338248571536315,0.8252041701881149,0.7213479759549586,0.37022827044669676,0.7292601693743056,233,50,6,0.6438145816997778,COMPLETE
70,70,0.0683432793407218,2023-04-11 14:29:56.731645,2023-04-11 14:31:39.289435,0 days 00:01:42.557790,0.05493175729188775,0.7963457253076657,0.829791802550008,0.4023008902067882,0.7885080392254374,274,49,5,0.6165044363336629,COMPLETE
71,71,0.08312020460358056,2023-04-11 14:31:39.289803,2023-04-11 14:33:20.752704,0 days 00:01:41.462901,0.14893891658989625,0.9001691315852478,0.8044287384584873,0.5325585359459116,0.7121064676990543,196,42,9,0.5176114868519579,COMPLETE
72,72,0.04404660414890594,2023-04-11 14:33:20.753053,2023-04-11 14:35:01.156714,0 days 00:01:40.403661,0.15929812302225618,0.8972121088534023,0.7944157438485605,0.4470695860714242,0.9023682202175698,224,42,9,0.49950977622071757,COMPLETE
73,73,0.04887752202330208,2023-04-11 14:35:01.157209,2023-04-11 14:36:41.331919,0 days 00:01:40.174710,0.10836665712361315,0.8603434122475073,0.8829083416978555,0.560570459534877,0.7953140705179482,216,36,10,0.44088190599589133,COMPLETE
74,74,0.06848536516055698,2023-04-11 14:36:41.332259,2023-04-11 14:38:22.241977,0 days 00:01:40.909718,0.23604969275445706,0.930190412163022,0.8516509836214529,0.6096358328468737,0.8265460122813573,189,40,9,0.5289255078436442,COMPLETE
75,75,0.04390451832907075,2023-04-11 14:38:22.242339,2023-04-11 14:40:04.424324,0 days 00:01:42.181985,0.3642163444422962,0.9950750089594094,0.9081579636842841,0.5310569389432016,0.8629904595524688,207,38,4,0.48325104428479937,COMPLETE
76,76,0.04404660414890594,2023-04-11 14:40:04.424835,2023-04-11 14:41:46.226961,0 days 00:01:41.802126,0.1364179396246098,0.8963073377996362,0.7634193400309088,0.4682272140953048,0.9156091589149995,196,43,6,0.39125790828747853,COMPLETE
77,77,0.06344131855640807,2023-04-11 14:41:46.227329,2023-04-11 14:43:29.499421,0 days 00:01:43.272092,0.09412182086813675,0.9474320394662264,0.7996949728305769,0.5993858296896019,0.6987521649183527,185,46,5,0.5907461598420697,COMPLETE
78,78,0.05846831486217676,2023-04-11 14:43:29.499780,2023-04-11 14:45:09.024984,0 days 00:01:39.525204,0.185159646623542,0.8414450025438955,0.7400149135695459,0.49980598217865957,0.7496163862173636,213,41,10,0.4359437916396514,COMPLETE
79,79,0.03900255754475704,2023-04-11 14:45:09.025474,2023-04-11 14:46:49.938454,0 days 00:01:40.912980,0.41025613542849265,0.8140371331619525,0.687783480179984,0.40649760869314583,0.7717205016093835,281,44,8,0.47528726567127083,COMPLETE
80,80,0.04390451832907075,2023-04-11 14:46:49.938851,2023-04-11 14:48:33.774040,0 days 00:01:43.835189,0.12875359728486774,0.7703994277338267,0.8774701137437813,0.42899861977352305,0.7157176739781249,204,34,4,0.5507209771779148,COMPLETE
81,81,0.04404660414890593,2023-04-11 14:48:33.774406,2023-04-11 14:50:15.274281,0 days 00:01:41.499875,0.05901320808404496,0.965875185387598,0.7804396815842893,0.5479694627101784,0.7344444572058182,196,42,8,0.5254160289288097,COMPLETE
82,82,0.07303211139528276,2023-04-11 14:50:15.274836,2023-04-11 14:51:55.466121,0 days 00:01:40.191285,0.15706803714567885,0.930039294704441,0.8375368634295425,0.5260725595531333,0.8241809487615983,191,39,9,0.5134454685858435,COMPLETE
83,83,0.05363739698778062,2023-04-11 14:51:55.466486,2023-04-11 14:53:37.146739,0 days 00:01:41.680253,0.09422126327748921,0.8818873504490734,0.7289823507894083,0.47058999926729184,0.944408989444664,199,16,9,0.6066509772483776,COMPLETE
84,84,0.05363739698778062,2023-04-11 14:53:37.147098,2023-04-11 14:55:19.264874,0 days 00:01:42.117776,0.1201195216762737,0.8583220226508861,0.8174417578029769,0.5801885005389942,0.8804452842433121,187,41,6,0.5670185772840535,COMPLETE
85,85,0.03410059676044331,2023-04-11 14:55:19.265370,2023-04-11 14:56:59.623331,0 days 00:01:40.357961,0.35014551919869874,0.8951502043433065,0.7625231383958921,0.5039125182725632,0.977740499617622,234,45,9,0.46977569829838717,COMPLETE
86,86,0.03886047172492185,2023-04-11 14:56:59.623673,2023-04-11 14:58:42.131477,0 days 00:01:42.507804,0.20449503165863503,0.9416243167011925,0.9164607554478287,0.6765790279286441,0.8456566683017606,206,48,7,0.6772198654283917,COMPLETE
87,87,0.05370843989769821,2023-04-11 14:58:42.131856,2023-04-11 15:00:24.190024,0 days 00:01:42.058168,0.0410054601325722,0.9778226761502862,0.8551022343215121,0.45185752699006687,0.7941133588376059,183,43,5,0.4328118481461108,COMPLETE
88,88,0.07807615799943166,2023-04-11 15:00:24.190577,2023-04-11 15:02:07.070818,0 days 00:01:42.880241,0.0649635696965244,0.8068812939271296,0.785771852991801,0.41674481265796753,0.7541444382459673,203,46,4,0.5357972196712711,COMPLETE
89,89,0.05832622904234158,2023-04-11 15:02:07.071164,2023-04-11 15:03:50.640407,0 days 00:01:43.569243,0.4301946236599066,0.8004814780675981,0.8860657617799104,0.37850497354387685,0.9089874225607759,201,47,3,0.49927264292349266,COMPLETE
90,90,0.058681443591929526,2023-04-11 15:03:50.640768,2023-04-11 15:05:33.130269,0 days 00:01:42.489501,0.067095203229389,0.8329527706755706,0.7904233462558986,0.33906285555116367,0.7566457391745669,209,49,4,0.5880666549557402,COMPLETE
91,91,0.06805910770105143,2023-04-11 15:05:33.130857,2023-04-11 15:07:15.818687,0 days 00:01:42.687830,0.09803191812777774,0.9101417978196208,0.817833063116528,0.42014709528481803,0.6881110951338659,194,42,4,0.5259837005210516,COMPLETE
92,92,0.09256891162262006,2023-04-11 15:07:15.819051,2023-04-11 15:08:58.745302,0 days 00:01:42.926251,0.0021447878112892393,0.877657413958518,0.7442185079778536,0.4722858050330898,0.7131459745962039,203,44,5,0.5477209749006697,COMPLETE
