,number,value,datetime_start,datetime_complete,duration,params_max_bpm,params_min_bpm,params_time_window,state
75,75,0.17050298380221654,2023-04-07 05:04:38.087108,2023-04-07 05:05:35.133601,0 days 00:00:57.046493,278,24,4,COMPLETE
76,76,0.20460358056265981,2023-04-07 05:05:35.133884,2023-04-07 05:06:30.853113,0 days 00:00:55.719229,288,25,4,COMPLETE
77,77,0.20943449843705597,2023-04-07 05:06:30.853532,2023-04-07 05:07:27.901631,0 days 00:00:57.048099,284,22,3,COMPLETE
78,78,0.15110826939471442,2023-04-07 05:07:27.901931,2023-04-07 05:08:23.882611,0 days 00:00:55.980680,293,26,3,COMPLETE
79,79,0.17036089798238138,2023-04-07 05:08:23.882912,2023-04-07 05:09:18.923218,0 days 00:00:55.040306,274,23,4,COMPLETE
80,80,0.19508383063370274,2023-04-07 05:09:18.923490,2023-04-07 05:10:14.136418,0 days 00:00:55.212928,278,27,7,COMPLETE
81,81,0.21462063086104008,2023-04-07 05:10:14.136717,2023-04-07 05:11:10.574138,0 days 00:00:56.437421,270,18,5,COMPLETE
82,82,0.2048167092924126,2023-04-07 05:11:10.574437,2023-04-07 05:12:06.184192,0 days 00:00:55.609755,273,16,5,COMPLETE
83,83,0.12219380505825521,2023-04-07 05:12:06.184622,2023-04-07 05:13:02.293567,0 days 00:00:56.108945,256,19,5,COMPLETE
84,84,0.20964762716680876,2023-04-07 05:13:02.293851,2023-04-07 05:13:57.220500,0 days 00:00:54.926649,281,20,6,COMPLETE
85,85,0.17554703040636543,2023-04-07 05:13:57.220799,2023-04-07 05:14:46.973213,0 days 00:00:49.752414,269,29,5,COMPLETE
86,86,0.21469167377095766,2023-04-07 05:14:46.973514,2023-04-07 05:15:44.130065,0 days 00:00:57.156551,276,24,4,COMPLETE
87,87,0.22925547030406368,2023-04-07 05:15:44.130344,2023-04-07 05:16:41.158506,0 days 00:00:57.028162,277,24,4,COMPLETE
88,88,0.19472861608411482,2023-04-07 05:16:41.158834,2023-04-07 05:17:30.787599,0 days 00:00:49.628765,284,24,9,COMPLETE
89,89,0.19977266268826374,2023-04-07 05:17:30.788046,2023-04-07 05:18:28.058736,0 days 00:00:57.270690,289,28,3,COMPLETE
90,90,0.2048167092924126,2023-04-07 05:18:28.059019,2023-04-07 05:19:23.827117,0 days 00:00:55.768098,280,31,4,COMPLETE
91,91,0.17036089798238138,2023-04-07 05:19:23.827402,2023-04-07 05:20:19.104929,0 days 00:00:55.277527,277,26,4,COMPLETE
92,92,0.19977266268826374,2023-04-07 05:20:19.105204,2023-04-07 05:21:11.207451,0 days 00:00:52.102247,275,25,4,COMPLETE
93,93,0.19003978402955388,2023-04-07 05:21:11.207754,2023-04-07 05:22:07.861435,0 days 00:00:56.653681,286,22,4,COMPLETE
94,94,0.22421142369991476,2023-04-07 05:22:07.861721,2023-04-07 05:23:04.234516,0 days 00:00:56.372795,281,23,3,COMPLETE
95,95,0.14599317988064792,2023-04-07 05:23:04.234993,2023-04-07 05:24:01.054046,0 days 00:00:56.819053,297,24,2,COMPLETE
96,96,0.22421142369991476,2023-04-07 05:24:01.054333,2023-04-07 05:24:57.169057,0 days 00:00:56.114724,281,23,3,COMPLETE
97,97,0.17547598749644785,2023-04-07 05:24:57.169345,2023-04-07 05:25:52.863110,0 days 00:00:55.693765,291,23,3,COMPLETE
98,98,0.1997016197783461,2023-04-07 05:25:52.863411,2023-04-07 05:26:50.137338,0 days 00:00:57.273927,281,25,3,COMPLETE
99,99,0.14641943734015347,2023-04-07 05:26:50.137622,2023-04-07 05:27:47.502425,0 days 00:00:57.364803,284,50,2,COMPLETE
100,100,0.19977266268826374,2023-04-07 05:27:47.502755,2023-04-07 05:28:44.279117,0 days 00:00:56.776362,280,27,3,COMPLETE
101,101,0.19011082693947146,2023-04-07 05:28:44.279552,2023-04-07 05:29:41.295061,0 days 00:00:57.015509,276,22,3,COMPLETE
102,102,0.18044899119067917,2023-04-07 05:29:41.295346,2023-04-07 05:30:37.779674,0 days 00:00:56.484328,287,24,2,COMPLETE
103,103,0.16084114805342428,2023-04-07 05:30:37.779974,2023-04-07 05:31:27.655233,0 days 00:00:49.875259,263,23,4,COMPLETE
104,104,0.19977266268826374,2023-04-07 05:31:27.655518,2023-04-07 05:32:20.218111,0 days 00:00:52.562593,271,21,4,COMPLETE
105,105,0.16552998010798523,2023-04-07 05:32:20.218396,2023-04-07 05:33:15.264887,0 days 00:00:55.046491,282,25,1,COMPLETE
106,106,0.1415174765558397,2023-04-07 05:33:15.265175,2023-04-07 05:34:10.470438,0 days 00:00:55.205263,267,23,5,COMPLETE
107,107,0.12205171923842001,2023-04-07 05:34:10.470917,2023-04-07 05:35:07.369638,0 days 00:00:56.898721,234,28,3,COMPLETE
108,108,0.09256891162262006,2023-04-07 05:35:07.369929,2023-04-07 05:36:02.024271,0 days 00:00:54.654342,210,26,6,COMPLETE
109,109,0.20453253765274226,2023-04-07 05:36:02.024558,2023-04-07 05:36:57.121129,0 days 00:00:55.096571,278,22,5,COMPLETE
110,110,0.0878090366581415,2023-04-07 05:36:57.121431,2023-04-07 05:37:47.696453,0 days 00:00:50.575022,194,24,4,COMPLETE
111,111,0.19494174481386758,2023-04-07 05:37:47.696742,2023-04-07 05:38:44.116540,0 days 00:00:56.419798,275,21,5,COMPLETE
112,112,0.20446149474282468,2023-04-07 05:38:44.116830,2023-04-07 05:39:39.770449,0 days 00:00:55.653619,279,20,5,COMPLETE
113,113,0.21938050582551863,2023-04-07 05:39:39.770952,2023-04-07 05:40:36.342063,0 days 00:00:56.571111,285,23,5,COMPLETE
114,114,0.21938050582551863,2023-04-07 05:40:36.342351,2023-04-07 05:41:31.834535,0 days 00:00:55.492184,285,23,5,COMPLETE
115,115,0.19011082693947146,2023-04-07 05:41:31.834856,2023-04-07 05:42:26.627195,0 days 00:00:54.792339,289,26,6,COMPLETE
116,116,0.19984370559818132,2023-04-07 05:42:26.627511,2023-04-07 05:43:23.121688,0 days 00:00:56.494177,286,23,5,COMPLETE
117,117,0.1658141517476556,2023-04-07 05:43:23.121979,2023-04-07 05:44:19.492725,0 days 00:00:56.370746,291,22,4,COMPLETE
118,118,0.23373117362887183,2023-04-07 05:44:19.493031,2023-04-07 05:45:16.369328,0 days 00:00:56.876297,283,25,4,COMPLETE
119,119,0.19963057686842853,2023-04-07 05:45:16.369764,2023-04-07 05:46:12.838429,0 days 00:00:56.468665,284,25,4,COMPLETE
120,120,0.17547598749644788,2023-04-07 05:46:12.838783,2023-04-07 05:47:08.798961,0 days 00:00:55.960178,296,27,3,COMPLETE
121,121,0.20446149474282468,2023-04-07 05:47:08.799270,2023-04-07 05:48:03.548995,0 days 00:00:54.749725,283,24,5,COMPLETE
122,122,0.15096618357487923,2023-04-07 05:48:03.549286,2023-04-07 05:48:55.393091,0 days 00:00:51.843805,293,23,4,COMPLETE
123,123,0.20453253765274226,2023-04-07 05:48:55.393380,2023-04-07 05:49:52.330912,0 days 00:00:56.937532,281,25,5,COMPLETE
124,124,0.24850809889173062,2023-04-07 05:49:52.331204,2023-04-07 05:50:48.113190,0 days 00:00:55.781986,287,26,4,COMPLETE
125,125,0.19963057686842853,2023-04-07 05:50:48.113635,2023-04-07 05:51:44.624349,0 days 00:00:56.510714,288,29,4,COMPLETE
126,126,0.15110826939471442,2023-04-07 05:51:44.624650,2023-04-07 05:52:41.251227,0 days 00:00:56.626577,286,19,3,COMPLETE
127,127,0.21469167377095766,2023-04-07 05:52:41.251552,2023-04-07 05:53:36.804257,0 days 00:00:55.552705,273,21,4,COMPLETE
128,128,0.21469167377095766,2023-04-07 05:53:36.804551,2023-04-07 05:54:33.354769,0 days 00:00:56.550218,273,21,4,COMPLETE
129,129,0.21469167377095766,2023-04-07 05:54:33.355088,2023-04-07 05:55:30.052126,0 days 00:00:56.697038,278,26,4,COMPLETE
130,130,0.1606990622335891,2023-04-07 05:55:30.052425,2023-04-07 05:56:26.384235,0 days 00:00:56.331810,290,18,3,COMPLETE
131,131,0.1851378232452401,2023-04-07 05:56:26.384673,2023-04-07 05:57:23.426515,0 days 00:00:57.041842,269,21,4,COMPLETE
132,132,0.21469167377095766,2023-04-07 05:57:23.426865,2023-04-07 05:58:19.195326,0 days 00:00:55.768461,274,22,4,COMPLETE
133,133,0.19003978402955388,2023-04-07 05:58:19.195660,2023-04-07 05:59:14.465512,0 days 00:00:55.269852,285,21,4,COMPLETE
134,134,0.20460358056265981,2023-04-07 05:59:14.465815,2023-04-07 06:00:11.182594,0 days 00:00:56.716779,282,19,4,COMPLETE
135,135,0.180306905370844,2023-04-07 06:00:11.182915,2023-04-07 06:01:06.639057,0 days 00:00:55.456142,274,20,8,COMPLETE
136,136,0.19501278772378516,2023-04-07 06:01:06.639377,2023-04-07 06:02:03.406530,0 days 00:00:56.767153,271,22,2,COMPLETE
137,137,0.22925547030406368,2023-04-07 06:02:03.407037,2023-04-07 06:03:00.880577,0 days 00:00:57.473540,280,27,4,COMPLETE
138,138,0.2048167092924126,2023-04-07 06:03:00.880899,2023-04-07 06:03:57.051700,0 days 00:00:56.170801,277,28,3,COMPLETE
139,139,0.22925547030406368,2023-04-07 06:03:57.051995,2023-04-07 06:04:52.994788,0 days 00:00:55.942793,280,27,4,COMPLETE
140,140,0.22911338448422847,2023-04-07 06:04:52.995087,2023-04-07 06:05:46.058628,0 days 00:00:53.063541,280,30,3,COMPLETE
141,141,0.19977266268826374,2023-04-07 06:05:46.058936,2023-04-07 06:06:43.446223,0 days 00:00:57.387287,280,27,3,COMPLETE
142,142,0.19018186984938903,2023-04-07 06:06:43.446536,2023-04-07 06:07:39.988093,0 days 00:00:56.541557,283,36,3,COMPLETE
143,143,0.1999147485080989,2023-04-07 06:07:39.988564,2023-04-07 06:08:32.569932,0 days 00:00:52.581368,287,32,4,COMPLETE
144,144,0.2048167092924126,2023-04-07 06:08:32.570249,2023-04-07 06:09:28.509109,0 days 00:00:55.938860,281,29,2,COMPLETE
145,145,0.20964762716680876,2023-04-07 06:09:28.509423,2023-04-07 06:10:20.115694,0 days 00:00:51.606271,285,30,3,COMPLETE
