,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,params_max_bpm,params_min_bpm,params_time_window,state
81,81,0.17547598749644785,2023-04-07 21:10:01.679588,2023-04-07 21:10:52.395005,0 days 00:00:50.715417,0.07639692000893171,0.7470360559460595,0.8417491671540199,272,12,7,COMPLETE
82,82,0.1752628587666951,2023-04-07 21:10:52.395317,2023-04-07 21:11:48.705036,0 days 00:00:56.309719,0.11048322411923533,0.8255027756510097,0.7631151995363474,268,14,6,COMPLETE
83,83,0.1410201761864166,2023-04-07 21:11:48.705397,2023-04-07 21:12:44.130638,0 days 00:00:55.425241,0.19012104854276543,0.8667128824614888,0.8022552514249688,264,18,7,COMPLETE
84,84,0.18520886615515772,2023-04-07 21:12:44.130947,2023-04-07 21:13:39.387415,0 days 00:00:55.256468,0.02674822192761881,0.7312343386966929,0.7295802626258372,279,20,5,COMPLETE
85,85,0.15110826939471442,2023-04-07 21:13:39.387875,2023-04-07 21:14:32.650253,0 days 00:00:53.262378,0.021788632772958366,0.6914572765787848,0.750844545112386,290,25,5,COMPLETE
86,86,0.17547598749644785,2023-04-07 21:14:32.650597,2023-04-07 21:15:28.850991,0 days 00:00:56.200394,0.053686695984540164,0.7952425949581554,0.6461179716468194,279,20,5,COMPLETE
87,87,0.14649048025007105,2023-04-07 21:15:28.851308,2023-04-07 21:16:25.599558,0 days 00:00:56.748250,0.06653280570610197,0.7323392184838324,0.5996999685140152,258,22,2,COMPLETE
88,88,0.14144643364592213,2023-04-07 21:16:25.599881,2023-04-07 21:17:22.813903,0 days 00:00:57.214022,0.03508940370877628,0.9406384317046848,0.6843666657506081,282,18,4,COMPLETE
89,89,0.17050298380221654,2023-04-07 21:17:22.814216,2023-04-07 21:18:19.472992,0 days 00:00:56.658776,0.11354469039979354,0.6311739346587298,0.7315132810252744,286,23,6,COMPLETE
90,90,0.18492469451548735,2023-04-07 21:18:19.473312,2023-04-07 21:19:11.332263,0 days 00:00:51.858951,0.14635165691714958,0.9960823724007859,0.6298870052026224,293,43,3,COMPLETE
91,91,0.17036089798238138,2023-04-07 21:19:11.332722,2023-04-07 21:20:08.771934,0 days 00:00:57.439212,0.1558140768778244,0.9966920596177409,0.6294192422027933,296,47,3,COMPLETE
92,92,0.09263995453253765,2023-04-07 21:20:08.772253,2023-04-07 21:21:04.907438,0 days 00:00:56.135185,0.20963640064318426,0.9667424855336759,0.6584059787511809,293,20,4,COMPLETE
93,93,0.09782608695652173,2023-04-07 21:21:04.907763,2023-04-07 21:22:01.835217,0 days 00:00:56.927454,0.08967951048556402,0.9101761048817542,0.6015291657700019,274,42,3,COMPLETE
